Origin Time:2021/07/14 06:52:05
Lon:121.60°E
Lat:23.94°N
Depth:8.7km
Mag:5.4
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 121.84,AZ=165.44,PGA(V)=   0.75,PGA(NS)=   1.21,PGA(EW)=   1.69,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.19
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 122.35,AZ=178.56,PGA(V)=   1.49,PGA(NS)=   2.19,PGA(EW)=   1.58,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.29,PGV(SUM)=   0.18
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 122.45,AZ=175.92,PGA(V)=   0.70,PGA(NS)=   1.52,PGA(EW)=   1.73,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.17
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 123.10,AZ= 68.74,PGA(V)=   1.39,PGA(NS)=   1.95,PGA(EW)=   1.64,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.18
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 124.41,AZ= 88.35,PGA(V)=   2.02,PGA(NS)=   2.82,PGA(EW)=   1.88,PGV(V)=   0.08,PGV(NS)=   0.25,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.10,PGV(SUM)=   0.26
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 126.39,AZ= 77.49,PGA(V)=   0.74,PGA(NS)=   2.71,PGA(EW)=   1.75,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.38
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 128.54,AZ= 67.79,PGA(V)=   0.64,PGA(NS)=   1.85,PGA(EW)=   2.06,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.19
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 130.42,AZ=172.13,PGA(V)=   0.47,PGA(NS)=   1.04,PGA(EW)=   0.57,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.19
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 131.24,AZ=154.75,PGA(V)=   0.38,PGA(NS)=   1.46,PGA(EW)=   1.74,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.21
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 133.68,AZ= 86.52,PGA(V)=   0.64,PGA(NS)=   1.86,PGA(EW)=   1.48,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.17
