Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 149.13,AZ=106.15,PGA(V)=   1.44,PGA(NS)=   1.55,PGA(EW)=   1.20,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.12
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 149.85,AZ= 90.95,PGA(V)=   2.83,PGA(NS)=   2.64,PGA(EW)=   2.13,PGV(V)=   0.25,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.08,PGV(SUM)=   0.29
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist= 150.76,AZ= 48.16,PGA(V)=   2.07,PGA(NS)=   4.03,PGA(EW)=   5.90,PGV(V)=   0.16,PGV(NS)=   0.32,PGV(EW)=   0.46,Int= 2級,PGA(SUM)=   6.73,PGV(SUM)=   0.50
Stacode=WPL ,Staname=埔里  ,Stalon=120.95,Stalat=24.01,Dist= 152.00,AZ= 79.88,PGA(V)=   0.98,PGA(NS)=   1.07,PGA(EW)=   1.46,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.12
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 153.56,AZ=112.16,PGA(V)=   1.25,PGA(NS)=   1.16,PGA(EW)=   1.39,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.17
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 156.06,AZ=114.00,PGA(V)=   1.02,PGA(NS)=   1.57,PGA(EW)=   1.31,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.16
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 159.35,AZ= 74.94,PGA(V)=   2.21,PGA(NS)=   7.02,PGA(EW)=   7.62,PGV(V)=   0.14,PGV(NS)=   0.63,PGV(EW)=   0.67,Int= 3級,PGA(SUM)=   9.44,PGV(SUM)=   0.76
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 162.11,AZ=120.90,PGA(V)=   0.57,PGA(NS)=   2.03,PGA(EW)=   1.86,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.17
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist= 162.47,AZ= 76.20,PGA(V)=   0.66,PGA(NS)=   1.31,PGA(EW)=   0.88,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.12
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 164.04,AZ= 44.49,PGA(V)=   2.76,PGA(NS)=   8.35,PGA(EW)=   6.48,PGV(V)=   0.16,PGV(NS)=   0.41,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  10.08,PGV(SUM)=   0.57
