Origin Time:2022/06/25 10:27:19
Lon:121.40¢XE
Lat:23.64¢XN
Depth:9.4km
Mag:5.0
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist= 101.08,AZ=320.58,PGA(V)=   0.54,PGA(NS)=   0.67,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.07
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist= 101.36,AZ=245.70,PGA(V)=   0.84,PGA(NS)=   1.58,PGA(EW)=   1.65,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.90,PGV(SUM)=   0.21
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist= 102.78,AZ=240.54,PGA(V)=   0.68,PGA(NS)=   1.31,PGA(EW)=   1.26,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.10
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 103.71,AZ=272.83,PGA(V)=   0.79,PGA(NS)=   3.21,PGA(EW)=   2.16,PGV(V)=   0.04,PGV(NS)=   0.22,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.45,PGV(SUM)=   0.26
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 103.81,AZ=233.23,PGA(V)=   0.32,PGA(NS)=   1.06,PGA(EW)=   1.23,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.07
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 108.50,AZ=285.46,PGA(V)=   1.64,PGA(NS)=   1.24,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.08
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 112.59,AZ=307.21,PGA(V)=   0.86,PGA(NS)=   1.71,PGA(EW)=   1.05,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.71,PGV(SUM)=   0.14
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 115.17,AZ=259.78,PGA(V)=   1.12,PGA(NS)=   2.83,PGA(EW)=   1.86,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   2.91,PGV(SUM)=   0.18
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 116.24,AZ=282.11,PGA(V)=   0.62,PGA(NS)=   1.24,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.07
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 119.81,AZ=269.73,PGA(V)=   0.50,PGA(NS)=   1.19,PGA(EW)=   1.13,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.09
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 120.78,AZ=263.74,PGA(V)=   0.57,PGA(NS)=   3.03,PGA(EW)=   2.43,PGV(V)=   0.03,PGV(NS)=   0.23,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.85,PGV(SUM)=   0.28
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 121.76,AZ=278.50,PGA(V)=   0.58,PGA(NS)=   1.70,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.13
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 124.98,AZ=254.89,PGA(V)=   0.47,PGA(NS)=   2.11,PGA(EW)=   2.22,PGV(V)=   0.02,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.23,PGV(SUM)=   0.18
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 125.23,AZ=228.05,PGA(V)=   1.08,PGA(NS)=   1.61,PGA(EW)=   1.47,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.13
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 127.08,AZ=243.86,PGA(V)=   0.50,PGA(NS)=   1.72,PGA(EW)=   1.58,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.00,PGV(SUM)=   0.19
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 128.00,AZ=237.55,PGA(V)=   0.55,PGA(NS)=   1.25,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.13
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 133.37,AZ=247.13,PGA(V)=   0.39,PGA(NS)=   1.02,PGA(EW)=   1.54,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.15
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 136.84,AZ=240.76,PGA(V)=   0.49,PGA(NS)=   1.11,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.13
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 145.40,AZ=247.86,PGA(V)=   0.48,PGA(NS)=   3.52,PGA(EW)=   2.93,PGV(V)=   0.02,PGV(NS)=   0.23,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.67,PGV(SUM)=   0.25
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 147.13,AZ=228.05,PGA(V)=   0.57,PGA(NS)=   0.85,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.09
