Origin Time:2024/11/07 01:19:39
Lon:121.55¢XE
Lat:23.56¢XN
Depth:32.5km
Mag:5.5
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 100.20,BAZ=142.05,PGA(V)=   1.10,PGA(NS)=   1.58,PGA(EW)=   2.20,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.46,PGV(SUM)=   0.13
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist= 100.24,BAZ=193.33,PGA(V)=   2.66,PGA(NS)=   3.88,PGA(EW)=   3.74,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.86,PGV(SUM)=   0.19
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 100.96,BAZ= 97.57,PGA(V)=   2.92,PGA(NS)=   6.52,PGA(EW)=   6.06,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   6.98,PGV(SUM)=   0.28
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 101.35,BAZ= 69.50,PGA(V)=   1.56,PGA(NS)=   2.56,PGA(EW)=   2.57,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.16,PGV(SUM)=   0.24
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 101.63,BAZ=121.37,PGA(V)=   3.60,PGA(NS)=   8.65,PGA(EW)=   8.63,PGV(V)=   0.10,PGV(NS)=   0.23,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   8.31,PGV(SUM)=   0.24
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 104.65,BAZ= 99.17,PGA(V)=   3.71,PGA(NS)=   8.53,PGA(EW)=   9.81,PGV(V)=   0.12,PGV(NS)=   0.26,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  11.01,PGV(SUM)=   0.45
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 108.28,BAZ=113.90,PGA(V)=   5.74,PGA(NS)=  10.21,PGA(EW)=   8.56,PGV(V)=   0.18,PGV(NS)=   0.26,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=   9.91,PGV(SUM)=   0.29
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 109.29,BAZ=126.09,PGA(V)=   1.99,PGA(NS)=   3.41,PGA(EW)=   2.80,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.27,PGV(SUM)=   0.15
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 109.99,BAZ= 88.13,PGA(V)=   5.13,PGA(NS)=   7.14,PGA(EW)=   9.63,PGV(V)=   0.21,PGV(NS)=   0.53,PGV(EW)=   0.69,Int= 3¯Å,PGA(SUM)=   9.57,PGV(SUM)=   0.70
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 111.43,BAZ=102.90,PGA(V)=   4.51,PGA(NS)=   5.57,PGA(EW)=   7.09,PGV(V)=   0.10,PGV(NS)=   0.32,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   6.35,PGV(SUM)=   0.33
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 111.88,BAZ= 61.38,PGA(V)=   1.04,PGA(NS)=   2.40,PGA(EW)=   2.85,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.20
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist= 112.11,BAZ= 55.66,PGA(V)=   1.23,PGA(NS)=   2.98,PGA(EW)=   2.89,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.90,PGV(SUM)=   0.20
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist= 112.66,BAZ= 68.10,PGA(V)=   1.52,PGA(NS)=   2.55,PGA(EW)=   3.00,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.87,PGV(SUM)=   0.23
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 114.47,BAZ= 86.23,PGA(V)=   1.85,PGA(NS)=   6.31,PGA(EW)=   8.52,PGV(V)=   0.07,PGV(NS)=   0.32,PGV(EW)=   0.56,Int= 3¯Å,PGA(SUM)=   8.57,PGV(SUM)=   0.59
