Origin Time:2025/01/21 00:29:23
Lon:120.55¢XE
Lat:23.15¢XN
Depth:12.8km
Mag:4.7
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  76.23,BAZ=193.83,PGA(V)=   0.56,PGA(NS)=   0.83,PGA(EW)=   1.03,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.05
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  76.37,BAZ=266.23,PGA(V)=   0.71,PGA(NS)=   1.50,PGA(EW)=   2.13,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.08
Stacode=D033,Staname=ªF´ä  ,Stalon=120.46,Stalat=22.46,Dist=  77.09,BAZ=  6.80,PGA(V)=   0.46,PGA(NS)=   0.80,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.07
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  79.42,BAZ=155.19,PGA(V)=   1.83,PGA(NS)=   4.20,PGA(EW)=   2.49,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.12
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  79.86,BAZ=284.54,PGA(V)=   0.42,PGA(NS)=   1.08,PGA(EW)=   0.68,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.05
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  81.40,BAZ=190.33,PGA(V)=   1.00,PGA(NS)=   2.97,PGA(EW)=   2.42,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.42,PGV(SUM)=   0.09
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  81.61,BAZ=254.76,PGA(V)=   0.67,PGA(NS)=   0.78,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  82.81,BAZ=161.28,PGA(V)=   1.09,PGA(NS)=   2.55,PGA(EW)=   1.95,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.10
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  84.57,BAZ=274.18,PGA(V)=   0.27,PGA(NS)=   0.94,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  84.79,BAZ=168.09,PGA(V)=   4.35,PGA(NS)=   4.07,PGA(EW)=   5.76,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   6.78,PGV(SUM)=   0.17
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  88.73,BAZ=244.07,PGA(V)=   0.43,PGA(NS)=   0.81,PGA(EW)=   0.49,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.03
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  89.43,BAZ=181.99,PGA(V)=   1.32,PGA(NS)=   1.11,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.04
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  91.06,BAZ=339.75,PGA(V)=   0.34,PGA(NS)=   0.69,PGA(EW)=   0.53,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  99.58,BAZ=188.84,PGA(V)=   0.68,PGA(NS)=   1.19,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.04
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 100.60,BAZ=173.06,PGA(V)=   1.19,PGA(NS)=   2.20,PGA(EW)=   1.54,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.02,PGV(SUM)=   0.06
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 102.56,BAZ=180.50,PGA(V)=   1.75,PGA(NS)=   3.71,PGA(EW)=   4.06,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.50,PGV(SUM)=   0.08
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist= 106.63,BAZ=200.28,PGA(V)=   0.30,PGA(NS)=   0.61,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.02
Stacode=PNG ,Staname=°¨¤½¥«,Stalon=119.56,Stalat=23.57,Dist= 110.63,BAZ=114.35,PGA(V)=   0.51,PGA(NS)=   1.91,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.05
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 122.20,BAZ=178.75,PGA(V)=   1.41,PGA(NS)=   1.58,PGA(EW)=   1.21,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.09
