Origin Time:2022/07/28 08:16:16
Lon:121.36°E
Lat:22.98°N
Depth:42.3km
Mag:5.4
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 113.47,AZ=325.31,PGA(V)=   0.82,PGA(NS)=   1.31,PGA(EW)=   1.99,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.15
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist= 114.10,AZ=333.97,PGA(V)=   0.63,PGA(NS)=   0.76,PGA(EW)=   0.61,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.08
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 115.33,AZ=273.21,PGA(V)=   0.54,PGA(NS)=   0.90,PGA(EW)=   0.96,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.08
Stacode=KAU1,Staname=高雄市,Stalon=120.31,Stalat=22.59,Dist= 116.22,AZ=248.43,PGA(V)=   0.58,PGA(NS)=   1.27,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.13
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 116.97,AZ=314.12,PGA(V)=   1.64,PGA(NS)=   3.72,PGA(EW)=   4.70,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   5.49,PGV(SUM)=   0.45
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist= 118.75,AZ=251.64,PGA(V)=   0.43,PGA(NS)=   0.76,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.06
Stacode=SMS ,Staname=滿州  ,Stalon=120.84,Stalat=22.02,Dist= 119.05,AZ=206.86,PGA(V)=   1.04,PGA(NS)=   4.59,PGA(EW)=   3.97,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   5.01,PGV(SUM)=   0.13
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=23.00,Dist= 119.22,AZ=270.84,PGA(V)=   1.05,PGA(NS)=   1.46,PGA(EW)=   1.45,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.09
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 120.51,AZ=325.54,PGA(V)=   0.97,PGA(NS)=   4.66,PGA(EW)=   2.78,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.48,PGV(SUM)=   0.18
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 120.58,AZ=280.26,PGA(V)=   0.50,PGA(NS)=   1.53,PGA(EW)=   1.63,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.12
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 121.23,AZ=295.86,PGA(V)=   1.37,PGA(NS)=   3.24,PGA(EW)=   1.86,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.26,PGV(SUM)=   0.15
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 123.35,AZ=289.29,PGA(V)=   1.61,PGA(NS)=   3.21,PGA(EW)=   1.85,PGV(V)=   0.03,PGV(NS)=   0.20,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.40,PGV(SUM)=   0.20
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 123.58,AZ=235.46,PGA(V)=   0.35,PGA(NS)=   1.09,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.09
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 123.99,AZ=325.92,PGA(V)=   1.43,PGA(NS)=   2.10,PGA(EW)=   1.19,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.15
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 125.15,AZ=210.31,PGA(V)=   0.82,PGA(NS)=   1.39,PGA(EW)=   1.20,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.10
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 126.55,AZ=308.30,PGA(V)=   1.61,PGA(NS)=   2.40,PGA(EW)=   1.87,PGV(V)=   0.03,PGV(NS)=   0.18,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.25,PGV(SUM)=   0.18
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 127.77,AZ=339.01,PGA(V)=   0.72,PGA(NS)=   1.35,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.08
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 129.21,AZ=356.04,PGA(V)=   1.01,PGA(NS)=   1.72,PGA(EW)=   2.31,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.35,PGV(SUM)=   0.12
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 130.24,AZ=203.50,PGA(V)=   0.62,PGA(NS)=   1.67,PGA(EW)=   1.36,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.09
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 130.51,AZ=297.44,PGA(V)=   0.72,PGA(NS)=   2.18,PGA(EW)=   1.84,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.14
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 131.77,AZ=278.08,PGA(V)=   0.65,PGA(NS)=   1.75,PGA(EW)=   1.13,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.12
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 133.27,AZ= 11.63,PGA(V)=   0.60,PGA(NS)=   1.45,PGA(EW)=   1.50,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.04
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 134.70,AZ=323.75,PGA(V)=   1.79,PGA(NS)=   3.79,PGA(EW)=   2.83,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   3.99,PGV(SUM)=   0.26
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 135.75,AZ=330.16,PGA(V)=   0.74,PGA(NS)=   1.20,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.13
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 136.49,AZ=  5.23,PGA(V)=   1.77,PGA(NS)=   2.59,PGA(EW)=   2.39,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.12
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 136.56,AZ=302.19,PGA(V)=   0.64,PGA(NS)=   1.67,PGA(EW)=   1.80,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.10
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 140.94,AZ=355.18,PGA(V)=   1.02,PGA(NS)=   1.15,PGA(EW)=   1.76,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.09
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 142.09,AZ=351.83,PGA(V)=   0.52,PGA(NS)=   1.50,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.07
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 146.42,AZ=331.89,PGA(V)=   0.43,PGA(NS)=   0.84,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.05
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 146.68,AZ=311.77,PGA(V)=   1.14,PGA(NS)=   2.92,PGA(EW)=   1.93,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.12
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 146.76,AZ=326.11,PGA(V)=   1.64,PGA(NS)=   4.04,PGA(EW)=   4.04,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.14,PGV(SUM)=   0.14
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 147.78,AZ=308.16,PGA(V)=   1.46,PGA(NS)=   2.14,PGA(EW)=   1.89,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.85,PGV(SUM)=   0.10
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 149.85,AZ=343.63,PGA(V)=   1.73,PGA(NS)=   1.99,PGA(EW)=   2.08,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.15
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 152.34,AZ= 15.11,PGA(V)=   0.95,PGA(NS)=   1.22,PGA(EW)=   1.38,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.06
