Origin Time:2023/06/10 17:12:33
Lon:120.64°E
Lat:22.87°N
Depth:16.0km
Mag:5.0
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  83.75,BAZ=149.40,PGA(V)=   0.99,PGA(NS)=   2.92,PGA(EW)=   2.12,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.13
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  86.89,BAZ=232.69,PGA(V)=   1.28,PGA(NS)=   0.70,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.06
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  87.50,BAZ=284.54,PGA(V)=   0.44,PGA(NS)=   0.78,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.07
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  90.32,BAZ=175.19,PGA(V)=   1.01,PGA(NS)=   2.00,PGA(EW)=   2.72,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.29,PGV(SUM)=   0.14
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  93.77,BAZ=193.17,PGA(V)=   0.64,PGA(NS)=   2.46,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.13
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  94.01,BAZ=173.39,PGA(V)=   1.25,PGA(NS)=   2.04,PGA(EW)=   3.85,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.68,PGV(SUM)=   0.20
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  94.07,BAZ=163.85,PGA(V)=   1.18,PGA(NS)=   4.92,PGA(EW)=   6.51,PGV(V)=   0.03,PGV(NS)=   0.18,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   6.15,PGV(SUM)=   0.28
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  94.71,BAZ=153.40,PGA(V)=   2.50,PGA(NS)=   6.38,PGA(EW)=   7.50,PGV(V)=   0.06,PGV(NS)=   0.30,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   7.24,PGV(SUM)=   0.36
Stacode=SMS ,Staname=滿州  ,Stalon=120.84,Stalat=22.02,Dist=  96.32,BAZ=348.11,PGA(V)=   0.48,PGA(NS)=   1.22,PGA(EW)=   0.62,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.14
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist=  96.67,BAZ=353.79,PGA(V)=   0.51,PGA(NS)=   1.70,PGA(EW)=   0.88,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.13
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 101.55,BAZ=353.87,PGA(V)=   0.60,PGA(NS)=   0.84,PGA(EW)=   1.25,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 105.58,BAZ=184.64,PGA(V)=   0.47,PGA(NS)=   0.88,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.05
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 109.66,BAZ=348.59,PGA(V)=   0.49,PGA(NS)=   0.65,PGA(EW)=   1.10,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.09
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 111.40,BAZ=182.53,PGA(V)=   0.44,PGA(NS)=   1.57,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.04
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 115.02,BAZ=193.56,PGA(V)=   0.58,PGA(NS)=   0.93,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.10
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 115.50,BAZ=161.68,PGA(V)=   0.48,PGA(NS)=   1.14,PGA(EW)=   1.16,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.09
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 117.37,BAZ=166.59,PGA(V)=   1.38,PGA(NS)=   1.85,PGA(EW)=   2.42,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.13
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 120.76,BAZ=176.87,PGA(V)=   0.78,PGA(NS)=   0.84,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.07
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 131.83,BAZ=314.50,PGA(V)=   0.47,PGA(NS)=   1.29,PGA(EW)=   1.07,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.06
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 134.05,BAZ=176.24,PGA(V)=   1.16,PGA(NS)=   1.74,PGA(EW)=   2.07,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.06
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 153.88,BAZ=175.40,PGA(V)=   0.55,PGA(NS)=   1.03,PGA(EW)=   1.25,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.11
