Origin Time:2019/04/03 09:52:55
Lon:120.85°E
Lat:22.95°N
Depth:4.1km
Mag:5.9
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 147.12,AZ=192.34,PGA(V)=   0.88,PGA(NS)=   2.61,PGA(EW)=   3.57
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 147.14,AZ=183.66,PGA(V)=   6.85,PGA(NS)=  17.75,PGA(EW)=  15.62
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 148.46,AZ=117.23,PGA(V)=   0.29,PGA(NS)=   1.68,PGA(EW)=   1.28
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 148.92,AZ=195.50,PGA(V)=   5.30,PGA(NS)=   7.20,PGA(EW)=   7.12
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 153.05,AZ=204.76,PGA(V)=   1.19,PGA(NS)=   2.63,PGA(EW)=   1.86
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.77,Stalat=24.35,Dist= 154.68,AZ=176.96,PGA(V)=   1.80,PGA(NS)=   2.93,PGA(EW)=   2.49
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 154.97,AZ=210.44,PGA(V)=   0.35,PGA(NS)=   1.38,PGA(EW)=   0.85
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 156.13,AZ=171.98,PGA(V)=   1.65,PGA(NS)=   3.96,PGA(EW)=   3.04
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 173.10,AZ=198.11,PGA(V)=   0.90,PGA(NS)=   2.85,PGA(EW)=   3.68
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 175.70,AZ=177.91,PGA(V)=   1.98,PGA(NS)=   3.82,PGA(EW)=   5.57
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 175.74,AZ=211.31,PGA(V)=   1.01,PGA(NS)=   1.95,PGA(EW)=   1.56
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist= 177.29,AZ=210.63,PGA(V)=   0.65,PGA(NS)=   1.16,PGA(EW)=   1.04
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 186.48,AZ=184.85,PGA(V)=   0.95,PGA(NS)=   1.41,PGA(EW)=   1.85
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 187.08,AZ=209.21,PGA(V)=   0.62,PGA(NS)=   1.23,PGA(EW)=   0.99
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 188.00,AZ=188.22,PGA(V)=   1.03,PGA(NS)=   1.47,PGA(EW)=   1.33
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 188.46,AZ=185.04,PGA(V)=   1.07,PGA(NS)=   1.14,PGA(EW)=   1.06
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist= 190.35,AZ=209.69,PGA(V)=   0.77,PGA(NS)=   1.71,PGA(EW)=   2.43
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 191.80,AZ=180.50,PGA(V)=   0.80,PGA(NS)=   3.31,PGA(EW)=   1.66
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 197.70,AZ=195.32,PGA(V)=   0.77,PGA(NS)=   1.28,PGA(EW)=   1.15
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 199.01,AZ=186.89,PGA(V)=   1.13,PGA(NS)=   2.39,PGA(EW)=   3.14
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 200.61,AZ=201.44,PGA(V)=   1.18,PGA(NS)=   1.99,PGA(EW)=   1.74
