Origin Time:2023/02/07 04:20:17
Lon:121.76°E
Lat:24.27°N
Depth:22.1km
Mag:5.1
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 100.11,BAZ=108.86,PGA(V)=   0.97,PGA(NS)=   0.66,PGA(EW)=   0.92,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.09
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 101.02,BAZ=116.78,PGA(V)=   0.67,PGA(NS)=   1.19,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.26,PGV(SUM)=   0.11
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 101.70,BAZ= 98.88,PGA(V)=   0.56,PGA(NS)=   1.09,PGA(EW)=   0.49,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.09
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 103.66,BAZ=162.34,PGA(V)=   0.49,PGA(NS)=   1.21,PGA(EW)=   0.90,PGV(V)=   0.04,PGV(NS)=   0.18,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.20
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 108.68,BAZ=138.43,PGA(V)=   0.29,PGA(NS)=   1.65,PGA(EW)=   1.69,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.17
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 110.19,BAZ= 82.66,PGA(V)=   0.32,PGA(NS)=   0.90,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.09
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist= 110.48,BAZ= 16.55,PGA(V)=   0.41,PGA(NS)=   1.08,PGA(EW)=   0.61,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.06
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 110.85,BAZ= 76.71,PGA(V)=   0.75,PGA(NS)=   1.94,PGA(EW)=   1.87,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.15
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 112.21,BAZ= 55.31,PGA(V)=   0.42,PGA(NS)=   1.09,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.06
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 113.95,BAZ= 94.19,PGA(V)=   0.53,PGA(NS)=   0.89,PGA(EW)=   0.90,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.11
