Origin Time:2024/04/03 23:39:10
Lon:121.68°E
Lat:24.16°N
Depth:19.4km
Mag:5.1
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 127.46,BAZ= 21.65,PGA(V)=   0.38,PGA(NS)=   0.61,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.09
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 127.63,BAZ= 84.54,PGA(V)=   0.68,PGA(NS)=   1.01,PGA(EW)=   1.18,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.09
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 128.43,BAZ= 71.08,PGA(V)=   0.72,PGA(NS)=   1.68,PGA(EW)=   1.13,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.08
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 135.59,BAZ= 77.63,PGA(V)=   0.71,PGA(NS)=   1.21,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.11
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 135.93,BAZ= 53.72,PGA(V)=   0.51,PGA(NS)=   1.63,PGA(EW)=   1.59,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.96,PGV(SUM)=   0.12
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 137.52,BAZ= 16.21,PGA(V)=   0.38,PGA(NS)=   0.73,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.05
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 141.41,BAZ= 60.28,PGA(V)=   1.27,PGA(NS)=   1.96,PGA(EW)=   2.77,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.79,PGV(SUM)=   0.21
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 141.70,BAZ= 68.10,PGA(V)=   0.63,PGA(NS)=   2.04,PGA(EW)=   1.65,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.10
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 145.43,BAZ= 76.65,PGA(V)=   0.48,PGA(NS)=   1.69,PGA(EW)=   1.57,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.12
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 147.10,BAZ= 59.78,PGA(V)=   0.44,PGA(NS)=   1.44,PGA(EW)=   1.54,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.12
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 153.53,BAZ= 74.93,PGA(V)=   0.64,PGA(NS)=   0.83,PGA(EW)=   1.28,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.09
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 157.28,BAZ= 55.11,PGA(V)=   0.59,PGA(NS)=   0.90,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 158.85,BAZ= 68.38,PGA(V)=   1.07,PGA(NS)=   2.19,PGA(EW)=   2.52,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.64,PGV(SUM)=   0.16
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 161.54,BAZ= 60.97,PGA(V)=   0.93,PGA(NS)=   1.99,PGA(EW)=   2.53,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.15
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 164.15,BAZ= 64.32,PGA(V)=   0.46,PGA(NS)=   1.22,PGA(EW)=   2.02,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.13,PGV(SUM)=   0.14
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 173.98,BAZ= 58.64,PGA(V)=   0.24,PGA(NS)=   0.89,PGA(EW)=   0.70,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 186.47,BAZ= 53.96,PGA(V)=   0.21,PGA(NS)=   0.56,PGA(EW)=   1.13,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.06
