Origin Time:2024/04/22 21:13:40
Lon:121.53°E
Lat:23.70°N
Depth:5.9km
Mag:5.4
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   2.11,BAZ=237.31,PGA(V)= 253.27,PGA(NS)= 597.89,PGA(EW)= 537.21,PGV(V)=  13.86,PGV(NS)=  21.91,PGV(EW)=  87.13,Int= 6強,PGA(SUM)= 463.50,PGV(SUM)=  88.02
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 120.31,BAZ=191.00,PGA(V)=   0.49,PGA(NS)=   1.44,PGA(EW)=   0.99,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.20
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 123.44,BAZ=158.67,PGA(V)=   0.76,PGA(NS)=   1.24,PGA(EW)=   1.31,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.14
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 124.89,BAZ=163.23,PGA(V)=   0.57,PGA(NS)=   1.04,PGA(EW)=   1.48,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.15
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.77,BAZ= 98.18,PGA(V)=   0.59,PGA(NS)=   1.80,PGA(EW)=   0.96,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.20
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 128.15,BAZ=148.46,PGA(V)=   0.49,PGA(NS)=   0.93,PGA(EW)=   0.91,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.13
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 128.96,BAZ= 78.08,PGA(V)=   0.49,PGA(NS)=   1.38,PGA(EW)=   1.29,PGV(V)=   0.05,PGV(NS)=   0.27,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.27
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 130.54,BAZ=156.53,PGA(V)=   0.58,PGA(NS)=   0.76,PGA(EW)=   1.06,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.17
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 131.61,BAZ=193.38,PGA(V)=   0.41,PGA(NS)=   1.00,PGA(EW)=   0.88,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.14
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 132.81,BAZ= 87.07,PGA(V)=   0.44,PGA(NS)=   0.95,PGA(EW)=   0.70,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.14
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 133.75,BAZ= 95.08,PGA(V)=   0.56,PGA(NS)=   1.40,PGA(EW)=   0.90,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.16
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 133.75,BAZ=169.34,PGA(V)=   0.49,PGA(NS)=   0.97,PGA(EW)=   0.91,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.12
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 134.30,BAZ= 81.71,PGA(V)=   0.42,PGA(NS)=   1.40,PGA(EW)=   1.66,PGV(V)=   0.05,PGV(NS)=   0.23,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.23
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 135.76,BAZ=157.30,PGA(V)=   0.55,PGA(NS)=   0.86,PGA(EW)=   0.91,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.23
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 138.43,BAZ=173.44,PGA(V)=   0.47,PGA(NS)=   0.82,PGA(EW)=   0.55,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.12
