Origin Time:2024/09/07 13:16:50
Lon:121.69¢XE
Lat:23.96¢XN
Depth:29.5km
Mag:5.3
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 102.16,BAZ= 84.99,PGA(V)=   0.79,PGA(NS)=   1.14,PGA(EW)=   1.13,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.16,PGV(SUM)=   0.07
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 102.36,BAZ= 29.00,PGA(V)=   1.84,PGA(NS)=   2.32,PGA(EW)=   2.15,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.12
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 102.45,BAZ= 60.98,PGA(V)=   0.90,PGA(NS)=   2.24,PGA(EW)=   2.54,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.84,PGV(SUM)=   0.23
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 102.67,BAZ=138.07,PGA(V)=   0.41,PGA(NS)=   0.87,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.04
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 103.16,BAZ= 86.92,PGA(V)=   1.23,PGA(NS)=   0.96,PGA(EW)=   0.87,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.08
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 104.62,BAZ=101.51,PGA(V)=   0.85,PGA(NS)=   1.25,PGA(EW)=   0.95,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.09
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 104.87,BAZ=150.00,PGA(V)=   0.86,PGA(NS)=   1.42,PGA(EW)=   1.36,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.11
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 105.79,BAZ=144.59,PGA(V)=   0.89,PGA(NS)=   2.35,PGA(EW)=   1.78,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.35,PGV(SUM)=   0.10
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 106.98,BAZ= 26.83,PGA(V)=   1.19,PGA(NS)=   2.50,PGA(EW)=   2.28,PGV(V)=   0.12,PGV(NS)=   0.19,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   2.85,PGV(SUM)=   0.23
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 109.13,BAZ= 38.60,PGA(V)=   1.08,PGA(NS)=   1.79,PGA(EW)=   1.42,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.95,PGV(SUM)=   0.07
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 110.77,BAZ=127.42,PGA(V)=   0.45,PGA(NS)=   0.87,PGA(EW)=   0.73,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.09
