Origin Time:2025/01/27 09:58:42
Lon:120.53°E
Lat:23.21°N
Depth:11.6km
Mag:4.7
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  94.01,BAZ=190.43,PGA(V)=   1.48,PGA(NS)=   2.60,PGA(EW)=   3.01,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.10,PGV(SUM)=   0.14
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist=  94.50,BAZ=173.65,PGA(V)=   3.26,PGA(NS)=   4.67,PGA(EW)=   6.54,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   6.44,PGV(SUM)=   0.29
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  96.65,BAZ=181.54,PGA(V)=   4.49,PGA(NS)=  12.53,PGA(EW)=   9.06,PGV(V)=   0.09,PGV(NS)=   0.33,PGV(EW)=   0.23,Int= 3級,PGA(SUM)=  12.32,PGV(SUM)=   0.33
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 101.71,BAZ=202.35,PGA(V)=   0.58,PGA(NS)=   0.93,PGA(EW)=   1.08,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.03
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 105.07,BAZ=188.45,PGA(V)=   0.53,PGA(NS)=   1.06,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.04
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 105.64,BAZ=218.42,PGA(V)=   0.69,PGA(NS)=   1.06,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.03
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 106.70,BAZ=111.82,PGA(V)=   0.61,PGA(NS)=   1.77,PGA(EW)=   1.18,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.05
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 116.23,BAZ=179.53,PGA(V)=   2.17,PGA(NS)=   3.21,PGA(EW)=   2.39,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.54,PGV(SUM)=   0.16
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 126.80,BAZ=184.96,PGA(V)=   0.47,PGA(NS)=   0.81,PGA(EW)=   1.00,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.07
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 128.24,BAZ=216.04,PGA(V)=   0.29,PGA(NS)=   0.75,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 128.69,BAZ=191.34,PGA(V)=   0.73,PGA(NS)=   1.05,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.05
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 132.06,BAZ=209.06,PGA(V)=   0.24,PGA(NS)=   0.93,PGA(EW)=   0.59,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.03
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 139.28,BAZ=232.37,PGA(V)=   0.22,PGA(NS)=   0.53,PGA(EW)=   1.15,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.06
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 147.04,BAZ=221.16,PGA(V)=   0.51,PGA(NS)=   0.71,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.04
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 167.09,BAZ=191.87,PGA(V)=   0.70,PGA(NS)=   0.62,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.03
