Origin Time:2024/04/23 05:24:31
Lon:121.53°E
Lat:23.73°N
Depth:6.7km
Mag:5.3
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 106.03,BAZ=111.33,PGA(V)=   1.23,PGA(NS)=   1.95,PGA(EW)=   1.85,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.18
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 106.41,BAZ= 93.43,PGA(V)=   1.40,PGA(NS)=   2.49,PGA(EW)=   2.10,PGV(V)=   0.09,PGV(NS)=   0.38,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.38
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 107.14,BAZ= 59.74,PGA(V)=   0.50,PGA(NS)=   0.80,PGA(EW)=   0.85,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.12
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 109.77,BAZ= 78.39,PGA(V)=   0.91,PGA(NS)=   2.63,PGA(EW)=   1.98,PGV(V)=   0.08,PGV(NS)=   0.38,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   2.62,PGV(SUM)=   0.39
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 114.81,BAZ= 76.90,PGA(V)=   0.57,PGA(NS)=   2.66,PGA(EW)=   2.40,PGV(V)=   0.04,PGV(NS)=   0.44,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   2.98,PGV(SUM)=   0.44
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 116.31,BAZ= 87.61,PGA(V)=   0.70,PGA(NS)=   2.68,PGA(EW)=   2.69,PGV(V)=   0.04,PGV(NS)=   0.34,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.36
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 117.42,BAZ=107.79,PGA(V)=   0.95,PGA(NS)=   1.18,PGA(EW)=   1.26,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.16
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 117.64,BAZ=119.64,PGA(V)=   0.72,PGA(NS)=   0.76,PGA(EW)=   0.94,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.23
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 118.71,BAZ= 99.19,PGA(V)=   1.11,PGA(NS)=   3.45,PGA(EW)=   2.71,PGV(V)=   0.08,PGV(NS)=   0.32,PGV(EW)=   0.44,Int= 2級,PGA(SUM)=   4.52,PGV(SUM)=   0.53
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 118.71,BAZ= 59.35,PGA(V)=   0.52,PGA(NS)=   1.03,PGA(EW)=   0.79,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.12
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 119.89,BAZ=158.10,PGA(V)=   0.41,PGA(NS)=   0.87,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.07
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 119.91,BAZ= 53.04,PGA(V)=   0.43,PGA(NS)=   0.90,PGA(EW)=   0.89,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.12
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 121.21,BAZ= 69.76,PGA(V)=   1.06,PGA(NS)=   3.33,PGA(EW)=   3.11,PGV(V)=   0.07,PGV(NS)=   0.48,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   4.08,PGV(SUM)=   0.48
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 121.25,BAZ=162.80,PGA(V)=   0.42,PGA(NS)=   0.78,PGA(EW)=   1.47,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.11
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.09,BAZ= 96.52,PGA(V)=   0.54,PGA(NS)=   1.16,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.18
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 129.59,BAZ= 76.44,PGA(V)=   0.71,PGA(NS)=   1.91,PGA(EW)=   1.83,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.22
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 130.03,BAZ=169.11,PGA(V)=   0.28,PGA(NS)=   0.85,PGA(EW)=   0.43,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.08
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 132.24,BAZ=156.75,PGA(V)=   0.33,PGA(NS)=   0.70,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 132.85,BAZ= 85.46,PGA(V)=   0.32,PGA(NS)=   1.54,PGA(EW)=   0.59,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.17
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 133.27,BAZ= 93.48,PGA(V)=   0.62,PGA(NS)=   0.91,PGA(EW)=   0.89,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.13
