Origin Time:2024/04/23 09:45:45
Lon:121.57¢XE
Lat:23.81¢XN
Depth:7.4km
Mag:5.4
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  97.21,BAZ= 16.52,PGA(V)=   1.44,PGA(NS)=   4.79,PGA(EW)=   3.62,PGV(V)=   0.06,PGV(NS)=   0.27,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.83,PGV(SUM)=   0.31
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  97.53,BAZ=167.50,PGA(V)=   0.70,PGA(NS)=   1.57,PGA(EW)=   2.22,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.14
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  97.76,BAZ=112.07,PGA(V)=   0.56,PGA(NS)=   1.17,PGA(EW)=   1.30,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.22,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.23
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  99.95,BAZ=126.16,PGA(V)=   0.88,PGA(NS)=   0.96,PGA(EW)=   1.29,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.15
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist= 100.74,BAZ=186.27,PGA(V)=   0.68,PGA(NS)=   1.09,PGA(EW)=   1.52,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.21
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 101.77,BAZ=152.89,PGA(V)=   0.46,PGA(NS)=   0.73,PGA(EW)=   0.88,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 102.57,BAZ= 99.10,PGA(V)=   1.79,PGA(NS)=   2.87,PGA(EW)=   2.52,PGV(V)=   0.20,PGV(NS)=   0.35,PGV(EW)=   0.43,Int= 2¯Å,PGA(SUM)=   3.21,PGV(SUM)=   0.46
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 103.36,BAZ= 82.02,PGA(V)=   1.35,PGA(NS)=   2.82,PGA(EW)=   2.49,PGV(V)=   0.10,PGV(NS)=   0.25,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   3.30,PGV(SUM)=   0.33
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 105.43,BAZ=129.11,PGA(V)=   0.74,PGA(NS)=   1.47,PGA(EW)=   0.62,PGV(V)=   0.11,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.15
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 106.16,BAZ= 84.07,PGA(V)=   1.08,PGA(NS)=   4.38,PGA(EW)=   2.51,PGV(V)=   0.11,PGV(NS)=   0.53,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   4.69,PGV(SUM)=   0.63
