Origin Time:2024/04/22 18:50:31
Lon:121.55°E
Lat:23.75°N
Depth:6.8km
Mag:5.7
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 106.88,BAZ=156.04,PGA(V)=   0.74,PGA(NS)=   1.20,PGA(EW)=   1.38,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.19
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 106.89,BAZ=109.96,PGA(V)=   2.78,PGA(NS)=   5.81,PGA(EW)=   5.90,PGV(V)=   0.30,PGV(NS)=   0.43,PGV(EW)=   0.50,Int= 2級,PGA(SUM)=   6.23,PGV(SUM)=   0.58
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 107.84,BAZ=133.03,PGA(V)=   1.20,PGA(NS)=   2.37,PGA(EW)=   1.43,PGV(V)=   0.30,PGV(NS)=   0.29,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.38
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 108.00,BAZ= 92.29,PGA(V)=   2.44,PGA(NS)=   3.05,PGA(EW)=   4.33,PGV(V)=   0.40,PGV(NS)=   0.58,PGV(EW)=   0.99,Int= 2級,PGA(SUM)=   4.52,PGV(SUM)=   0.99
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 108.14,BAZ=187.44,PGA(V)=   0.75,PGA(NS)=   1.63,PGA(EW)=   2.21,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.25
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 109.65,BAZ= 59.25,PGA(V)=   1.21,PGA(NS)=   1.70,PGA(EW)=   1.62,PGV(V)=   0.17,PGV(NS)=   0.18,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   1.96,PGV(SUM)=   0.26
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 111.62,BAZ=150.79,PGA(V)=   0.96,PGA(NS)=   1.63,PGA(EW)=   1.66,PGV(V)=   0.18,PGV(NS)=   0.23,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.25
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 111.86,BAZ= 77.53,PGA(V)=   1.77,PGA(NS)=   3.50,PGA(EW)=   4.13,PGV(V)=   0.32,PGV(NS)=   0.55,PGV(EW)=   0.63,Int= 2級,PGA(SUM)=   5.01,PGV(SUM)=   0.64
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 112.92,BAZ=151.60,PGA(V)=   1.21,PGA(NS)=   2.14,PGA(EW)=   1.10,PGV(V)=   0.22,PGV(NS)=   0.23,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.06,PGV(SUM)=   0.24
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 113.36,BAZ=125.74,PGA(V)=   1.22,PGA(NS)=   1.67,PGA(EW)=   1.97,PGV(V)=   0.32,PGV(NS)=   0.32,PGV(EW)=   0.32,Int= 1級,PGA(SUM)=   1.98,PGV(SUM)=   0.41
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist= 113.71,BAZ= 24.73,PGA(V)=   0.47,PGA(NS)=   0.94,PGA(EW)=   0.95,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.20
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 114.32,BAZ=190.82,PGA(V)=   0.80,PGA(NS)=   1.98,PGA(EW)=   1.92,PGV(V)=   0.15,PGV(NS)=   0.36,PGV(EW)=   0.34,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.43
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 116.13,BAZ=141.00,PGA(V)=   1.20,PGA(NS)=   2.26,PGA(EW)=   1.81,PGV(V)=   0.21,PGV(NS)=   0.42,PGV(EW)=   0.27,Int= 1級,PGA(SUM)=   2.25,PGV(SUM)=   0.42
