Origin Time:2024/04/03 08:46:44
Lon:121.70¢XE
Lat:24.19¢XN
Depth:6.1km
Mag:5.6
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.39,BAZ= 69.41,PGA(V)=  83.89,PGA(NS)= 412.80,PGA(EW)= 141.92,PGV(V)=   1.93,PGV(NS)=  11.14,PGV(EW)=   3.59,Int= 4¯Å,PGA(SUM)= 293.50,PGV(SUM)=  11.40
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist=  95.14,BAZ=166.12,PGA(V)=   2.43,PGA(NS)=   3.01,PGA(EW)=   2.88,PGV(V)=   0.18,PGV(NS)=   0.27,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   3.27,PGV(SUM)=   0.33
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist=  95.37,BAZ=133.55,PGA(V)=   1.28,PGA(NS)=   1.57,PGA(EW)=   1.95,PGV(V)=   0.19,PGV(NS)=   0.27,PGV(EW)=   0.25,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.36
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist=  96.27,BAZ=168.70,PGA(V)=   1.10,PGA(NS)=   1.87,PGA(EW)=   1.42,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.25,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.27
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist=  97.79,BAZ=105.04,PGA(V)=   0.82,PGA(NS)=   1.11,PGA(EW)=   1.03,PGV(V)=   0.13,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.20
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist=  98.16,BAZ=115.36,PGA(V)=   0.96,PGA(NS)=   1.39,PGA(EW)=   1.39,PGV(V)=   0.17,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.26
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist=  98.50,BAZ=184.79,PGA(V)=   1.81,PGA(NS)=   4.85,PGA(EW)=   2.70,PGV(V)=   0.12,PGV(NS)=   0.44,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   5.03,PGV(SUM)=   0.45
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist=  98.90,BAZ=176.49,PGA(V)=   1.18,PGA(NS)=   2.48,PGA(EW)=   2.42,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.22
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist=  98.99,BAZ=155.68,PGA(V)=   2.07,PGA(NS)=   2.38,PGA(EW)=   2.07,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.23,Int= 1¯Å,PGA(SUM)=   2.26,PGV(SUM)=   0.26
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist=  99.52,BAZ=135.69,PGA(V)=   1.30,PGA(NS)=   2.60,PGA(EW)=   1.74,PGV(V)=   0.18,PGV(NS)=   0.29,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   2.62,PGV(SUM)=   0.31
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  99.53,BAZ= 14.77,PGA(V)=   2.28,PGA(NS)=   2.60,PGA(EW)=   2.64,PGV(V)=   0.21,PGV(NS)=   0.25,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   3.70,PGV(SUM)=   0.35
