Origin Time:2024/09/19 01:10:15
Lon:121.50°E
Lat:24.08°N
Depth:19.6km
Mag:4.7
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  92.33,BAZ=136.47,PGA(V)=   1.19,PGA(NS)=   1.02,PGA(EW)=   2.63,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.08
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  94.23,BAZ= 81.98,PGA(V)=   1.26,PGA(NS)=   1.41,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.08
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  95.47,BAZ= 90.02,PGA(V)=   1.79,PGA(NS)=   3.99,PGA(EW)=   4.49,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.82,PGV(SUM)=   0.11
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  96.35,BAZ=149.45,PGA(V)=   0.99,PGA(NS)=   0.98,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  97.56,BAZ=181.66,PGA(V)=   1.08,PGA(NS)=   2.13,PGA(EW)=   1.90,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.35,PGV(SUM)=   0.09
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  99.15,BAZ= 57.43,PGA(V)=   0.36,PGA(NS)=   0.79,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 103.95,BAZ=168.78,PGA(V)=   0.92,PGA(NS)=   1.54,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.08
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 104.02,BAZ= 65.15,PGA(V)=   0.57,PGA(NS)=   1.74,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.38,PGV(SUM)=   0.07
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 104.15,BAZ=178.75,PGA(V)=   1.28,PGA(NS)=   1.01,PGA(EW)=   1.34,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.08
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 105.62,BAZ= 67.54,PGA(V)=   0.81,PGA(NS)=   1.59,PGA(EW)=   1.46,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.09
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 106.17,BAZ=180.91,PGA(V)=   0.56,PGA(NS)=   0.84,PGA(EW)=   0.50,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.04
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 107.81,BAZ= 72.65,PGA(V)=   1.15,PGA(NS)=   2.48,PGA(EW)=   1.75,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.69,PGV(SUM)=   0.08
