Origin Time:2021/09/01 06:27:56
Lon:120.71¢XE
Lat:23.27¢XN
Depth:13.7km
Mag:4.9
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  68.59,AZ=298.25,PGA(V)=   0.61,PGA(NS)=   1.59,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.07
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  68.75,AZ= 34.38,PGA(V)=   1.41,PGA(NS)=   2.91,PGA(EW)=   2.64,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.97,PGV(SUM)=   0.16
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  69.07,AZ= 19.62,PGA(V)=   0.71,PGA(NS)=   1.23,PGA(EW)=   1.60,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.07
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  69.98,AZ=285.41,PGA(V)=   0.61,PGA(NS)=   1.38,PGA(EW)=   1.75,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.09
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  71.01,AZ=196.22,PGA(V)=   0.54,PGA(NS)=   1.45,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.48,PGV(SUM)=   0.14
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  71.09,AZ=177.19,PGA(V)=   0.83,PGA(NS)=   0.81,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.06
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  75.61,AZ=265.75,PGA(V)=   0.52,PGA(NS)=   1.51,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.57,PGV(SUM)=   0.10
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  77.89,AZ=139.94,PGA(V)=   2.20,PGA(NS)=   5.16,PGA(EW)=   6.59,PGV(V)=   0.06,PGV(NS)=   0.25,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   6.57,PGV(SUM)=   0.41
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  78.14,AZ=169.93,PGA(V)=   1.41,PGA(NS)=   1.66,PGA(EW)=   1.74,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.13
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  78.43,AZ=154.08,PGA(V)=   2.40,PGA(NS)=   4.31,PGA(EW)=   6.53,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   6.88,PGV(SUM)=   0.31
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  78.98,AZ=146.70,PGA(V)=   1.84,PGA(NS)=   4.59,PGA(EW)=   5.26,PGV(V)=   0.05,PGV(NS)=   0.26,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.95,PGV(SUM)=   0.31
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist=  83.20,AZ= 33.87,PGA(V)=   0.78,PGA(NS)=   0.64,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.06
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  85.46,AZ=238.51,PGA(V)=   0.39,PGA(NS)=   1.02,PGA(EW)=   0.64,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.08
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  86.07,AZ=178.93,PGA(V)=   0.64,PGA(NS)=   1.38,PGA(EW)=   1.50,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.09
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  89.88,AZ=192.96,PGA(V)=   0.27,PGA(NS)=   1.04,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=WCH1,Staname=¹ü¤Æ¥«,Stalon=120.55,Stalat=24.07,Dist=  90.89,AZ=169.19,PGA(V)=   1.25,PGA(NS)=   2.11,PGA(EW)=   2.58,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.13,PGV(SUM)=   0.19
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  97.51,AZ=178.21,PGA(V)=   0.34,PGA(NS)=   0.80,PGA(EW)=   1.04,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  98.94,AZ=351.51,PGA(V)=   0.37,PGA(NS)=   0.80,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.05
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  99.54,AZ=  5.08,PGA(V)=   0.36,PGA(NS)=   1.14,PGA(EW)=   0.49,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.06
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 111.42,AZ=169.95,PGA(V)=   0.71,PGA(NS)=   1.00,PGA(EW)=   1.64,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.43,PGV(SUM)=   0.10
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 114.55,AZ=191.90,PGA(V)=   0.45,PGA(NS)=   0.41,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.04
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist= 119.86,AZ=182.89,PGA(V)=   0.62,PGA(NS)=   1.07,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.09
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 120.82,AZ=229.43,PGA(V)=   0.23,PGA(NS)=   0.45,PGA(EW)=   0.80,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 127.34,AZ=182.55,PGA(V)=   0.29,PGA(NS)=   1.05,PGA(EW)=   0.40,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.07
Stacode=NMLH,Staname=­]®ß¥«,Stalon=120.79,Stalat=24.54,Dist= 141.04,AZ=183.19,PGA(V)=   0.57,PGA(NS)=   0.96,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.08
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 161.33,AZ=327.47,PGA(V)=   0.28,PGA(NS)=   0.91,PGA(EW)=   0.66,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.04
