Origin Time:2020/12/10 13:29:38
Lon:121.55¢XE
Lat:23.45¢XN
Depth:38.0km
Mag:5.4
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist= 131.84,AZ=187.24,PGA(V)=   0.52,PGA(NS)=   0.91,PGA(EW)=   0.68,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.08
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 133.03,AZ=143.15,PGA(V)=   1.13,PGA(NS)=   2.19,PGA(EW)=   0.72,PGV(V)=   0.05,PGV(NS)=   0.23,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.23
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 134.10,AZ= 74.82,PGA(V)=   0.57,PGA(NS)=   1.20,PGA(EW)=   1.48,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.43,PGV(SUM)=   0.15
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 135.87,AZ=136.83,PGA(V)=   0.79,PGA(NS)=   1.53,PGA(EW)=   0.96,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.13
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 136.50,AZ= 85.08,PGA(V)=   0.93,PGA(NS)=   2.70,PGA(EW)=   3.78,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.28,PGV(SUM)=   0.21
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 136.64,AZ= 98.54,PGA(V)=   0.57,PGA(NS)=   0.97,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.08
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 136.66,AZ=109.33,PGA(V)=   0.96,PGA(NS)=   1.59,PGA(EW)=   1.81,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.11
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 137.55,AZ=130.29,PGA(V)=   1.15,PGA(NS)=   1.85,PGA(EW)=   2.07,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.14
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist= 138.86,AZ= 51.83,PGA(V)=   0.55,PGA(NS)=   0.77,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 141.18,AZ=105.97,PGA(V)=   0.94,PGA(NS)=   1.36,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.15
