Origin Time:2022/12/24 05:17:59
Lon:121.18°E
Lat:23.13°N
Depth:13.9km
Mag:5.2
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist=  88.81,BAZ= 21.79,PGA(V)=   1.00,PGA(NS)=   2.95,PGA(EW)=   2.04,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.26,PGV(SUM)=   0.15
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  89.65,BAZ=149.18,PGA(V)=   0.34,PGA(NS)=   0.59,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  91.08,BAZ= 90.66,PGA(V)=   0.42,PGA(NS)=   1.28,PGA(EW)=   1.03,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.17
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  91.68,BAZ=179.89,PGA(V)=   1.54,PGA(NS)=   2.03,PGA(EW)=   1.33,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.08
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist=  92.07,BAZ= 18.84,PGA(V)=   0.70,PGA(NS)=   1.30,PGA(EW)=   1.41,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.07
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  92.24,BAZ=134.93,PGA(V)=   0.52,PGA(NS)=   1.57,PGA(EW)=   1.45,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.22
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist=  94.79,BAZ= 41.29,PGA(V)=   0.89,PGA(NS)=   2.60,PGA(EW)=   2.69,PGV(V)=   0.06,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.16,PGV(SUM)=   0.23
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist=  95.76,BAZ= 64.42,PGA(V)=   1.11,PGA(NS)=   3.60,PGA(EW)=   2.68,PGV(V)=   0.06,PGV(NS)=   0.31,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   3.62,PGV(SUM)=   0.32
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  96.32,BAZ=206.73,PGA(V)=   0.60,PGA(NS)=   1.28,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.07
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  96.70,BAZ=149.19,PGA(V)=   0.61,PGA(NS)=   0.74,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.07
