Origin Time:2024/09/13 12:59:33
Lon:121.70°E
Lat:23.96°N
Depth:29.2km
Mag:5.0
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 125.34,BAZ= 62.64,PGA(V)=   0.84,PGA(NS)=   2.32,PGA(EW)=   2.22,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.14
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 129.24,BAZ= 94.75,PGA(V)=   1.32,PGA(NS)=   1.26,PGA(EW)=   1.53,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.11
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 133.23,BAZ= 69.22,PGA(V)=   0.87,PGA(NS)=   2.09,PGA(EW)=   1.84,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.11
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 134.33,BAZ= 87.35,PGA(V)=   1.33,PGA(NS)=   3.33,PGA(EW)=   2.23,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.23,PGV(SUM)=   0.17
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 136.57,BAZ= 77.30,PGA(V)=   1.43,PGA(NS)=   2.04,PGA(EW)=   2.43,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.42,PGV(SUM)=   0.10
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 138.65,BAZ= 68.33,PGA(V)=   0.50,PGA(NS)=   1.38,PGA(EW)=   1.59,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.11
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 143.66,BAZ= 85.71,PGA(V)=   0.66,PGA(NS)=   2.03,PGA(EW)=   1.37,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.09
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 146.99,BAZ= 62.83,PGA(V)=   0.78,PGA(NS)=   1.27,PGA(EW)=   1.20,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.08
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 150.98,BAZ= 83.50,PGA(V)=   1.37,PGA(NS)=   1.91,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.96,PGV(SUM)=   0.16
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist= 151.45,BAZ= 45.09,PGA(V)=   0.41,PGA(NS)=   0.47,PGA(EW)=   0.82,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 153.42,BAZ= 68.77,PGA(V)=   0.67,PGA(NS)=   1.29,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 153.64,BAZ= 76.56,PGA(V)=   1.16,PGA(NS)=   2.35,PGA(EW)=   2.26,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.54,PGV(SUM)=   0.11
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 157.30,BAZ= 72.12,PGA(V)=   0.58,PGA(NS)=   1.93,PGA(EW)=   1.13,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.89,PGV(SUM)=   0.09
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 164.87,BAZ= 65.75,PGA(V)=   0.33,PGA(NS)=   0.90,PGA(EW)=   1.06,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.05
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 170.19,BAZ= 57.64,PGA(V)=   0.38,PGA(NS)=   0.50,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.05
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 170.95,BAZ= 45.96,PGA(V)=   0.67,PGA(NS)=   0.74,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.05
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 175.55,BAZ= 60.34,PGA(V)=   0.27,PGA(NS)=   0.82,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.04
