Origin Time:2024/04/23 04:03:07
Lon:121.60°E
Lat:23.83°N
Depth:8.1km
Mag:5.2
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 124.85,BAZ= 82.85,PGA(V)=   0.33,PGA(NS)=   1.64,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.22,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.25
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 125.01,BAZ= 72.91,PGA(V)=   0.26,PGA(NS)=   1.17,PGA(EW)=   0.87,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.15
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 125.12,BAZ= 93.79,PGA(V)=   0.35,PGA(NS)=   0.92,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.11
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 125.25,BAZ=169.28,PGA(V)=   0.41,PGA(NS)=   0.72,PGA(EW)=   0.62,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.14
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 125.93,BAZ=151.62,PGA(V)=   0.45,PGA(NS)=   0.71,PGA(EW)=   0.87,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.15
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 132.33,BAZ= 66.56,PGA(V)=   0.44,PGA(NS)=   0.80,PGA(EW)=   0.81,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.15
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 132.59,BAZ=174.32,PGA(V)=   0.45,PGA(NS)=   1.07,PGA(EW)=   0.98,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.21
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 133.07,BAZ=161.46,PGA(V)=   0.41,PGA(NS)=   1.16,PGA(EW)=   0.52,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.20
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 133.98,BAZ= 91.60,PGA(V)=   0.62,PGA(NS)=   0.83,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.14
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 138.90,BAZ=187.44,PGA(V)=   0.19,PGA(NS)=   0.98,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.12
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 140.70,BAZ= 88.94,PGA(V)=   0.40,PGA(NS)=   1.11,PGA(EW)=   0.68,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.11
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 142.23,BAZ=156.63,PGA(V)=   0.23,PGA(NS)=   0.71,PGA(EW)=   1.63,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.31,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.31
