Origin Time:2024/04/23 03:20:11
Lon:121.54°E
Lat:23.87°N
Depth:10.3km
Mag:5.2
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 107.58,BAZ=159.69,PGA(V)=   0.71,PGA(NS)=   1.97,PGA(EW)=   1.47,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.07,PGV(SUM)=   0.12
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 108.02,BAZ= 85.46,PGA(V)=   0.70,PGA(NS)=   1.68,PGA(EW)=   1.49,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.23
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 112.36,BAZ=112.64,PGA(V)=   0.78,PGA(NS)=   0.90,PGA(EW)=   1.50,PGV(V)=   0.14,PGV(NS)=   0.19,PGV(EW)=   0.27,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.30
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 113.17,BAZ=194.91,PGA(V)=   0.45,PGA(NS)=   0.73,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.11
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 113.42,BAZ=142.97,PGA(V)=   0.54,PGA(NS)=   0.78,PGA(EW)=   0.94,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.09
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 115.10,BAZ= 71.24,PGA(V)=   0.88,PGA(NS)=   1.12,PGA(EW)=   1.38,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.15
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 115.18,BAZ=100.47,PGA(V)=   0.71,PGA(NS)=   1.38,PGA(EW)=   1.43,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.15
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 115.73,BAZ=166.99,PGA(V)=   0.45,PGA(NS)=   0.74,PGA(EW)=   0.74,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.09
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 116.57,BAZ= 53.75,PGA(V)=   0.45,PGA(NS)=   0.97,PGA(EW)=   0.63,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.12
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 118.71,BAZ= 91.95,PGA(V)=   1.00,PGA(NS)=   1.62,PGA(EW)=   1.72,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.19
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 119.32,BAZ=153.27,PGA(V)=   0.57,PGA(NS)=   0.94,PGA(EW)=   0.84,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.09
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 120.07,BAZ=171.80,PGA(V)=   0.69,PGA(NS)=   0.73,PGA(EW)=   0.66,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 120.45,BAZ= 70.12,PGA(V)=   0.55,PGA(NS)=   1.39,PGA(EW)=   1.45,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.15
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 121.12,BAZ=179.13,PGA(V)=   0.35,PGA(NS)=   1.08,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.09
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 127.18,BAZ=163.50,PGA(V)=   0.41,PGA(NS)=   0.98,PGA(EW)=   0.64,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.09
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.71,BAZ= 89.78,PGA(V)=   0.61,PGA(NS)=   1.52,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.13
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 127.90,BAZ=176.89,PGA(V)=   0.77,PGA(NS)=   0.96,PGA(EW)=   1.13,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.14
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 128.00,BAZ=168.78,PGA(V)=   0.38,PGA(NS)=   0.87,PGA(EW)=   0.82,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.08
