Origin Time:2024/04/25 02:11:54
Lon:122.34°E
Lat:23.98°N
Depth:24.8km
Mag:5.7
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 150.35,BAZ= 49.29,PGA(V)=   0.81,PGA(NS)=   1.70,PGA(EW)=   1.56,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.09
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 150.55,BAZ= 68.72,PGA(V)=   1.28,PGA(NS)=   3.54,PGA(EW)=   2.54,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.74,PGV(SUM)=   0.19
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist= 151.58,BAZ=153.20,PGA(V)=   0.42,PGA(NS)=   0.90,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.09
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 151.69,BAZ=123.46,PGA(V)=   1.06,PGA(NS)=   2.35,PGA(EW)=   2.26,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.23
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 152.64,BAZ=118.09,PGA(V)=   0.71,PGA(NS)=   1.54,PGA(EW)=   1.13,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.12
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 152.87,BAZ=118.86,PGA(V)=   0.54,PGA(NS)=   1.13,PGA(EW)=   1.02,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.08
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 154.29,BAZ=137.02,PGA(V)=   0.99,PGA(NS)=   1.12,PGA(EW)=   1.57,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.18
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 154.75,BAZ=143.34,PGA(V)=   0.82,PGA(NS)=   0.93,PGA(EW)=   0.78,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.13
Stacode=ANP ,Staname=陽明山,Stalon=121.53,Stalat=25.18,Dist= 156.19,BAZ=148.49,PGA(V)=   0.39,PGA(NS)=   0.70,PGA(EW)=   0.48,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.08
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 159.67,BAZ=133.18,PGA(V)=   1.05,PGA(NS)=   1.05,PGA(EW)=   0.97,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.18
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 160.21,BAZ=123.48,PGA(V)=   0.83,PGA(NS)=   1.57,PGA(EW)=   1.71,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.25
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 163.08,BAZ=104.39,PGA(V)=   1.29,PGA(NS)=   1.76,PGA(EW)=   1.94,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.15
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 163.62,BAZ=125.01,PGA(V)=   0.72,PGA(NS)=   1.06,PGA(EW)=   1.49,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.23
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 163.74,BAZ= 71.37,PGA(V)=   0.53,PGA(NS)=   0.95,PGA(EW)=   1.03,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.10
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 164.62,BAZ= 83.87,PGA(V)=   1.03,PGA(NS)=   3.93,PGA(EW)=   1.92,PGV(V)=   0.05,PGV(NS)=   0.20,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.85,PGV(SUM)=   0.21
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 166.16,BAZ=106.81,PGA(V)=   0.61,PGA(NS)=   0.88,PGA(EW)=   0.82,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.15
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 166.37,BAZ=112.89,PGA(V)=   0.65,PGA(NS)=   1.00,PGA(EW)=   0.99,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.13
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 166.57,BAZ= 92.34,PGA(V)=   2.16,PGA(NS)=   3.40,PGA(EW)=   2.33,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.50,PGV(SUM)=   0.24
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 167.65,BAZ= 86.06,PGA(V)=   0.82,PGA(NS)=   2.35,PGA(EW)=   2.11,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.24,PGV(SUM)=   0.09
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 167.84,BAZ=117.64,PGA(V)=   0.61,PGA(NS)=   1.31,PGA(EW)=   1.67,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.15
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 168.68,BAZ= 87.23,PGA(V)=   1.91,PGA(NS)=   2.21,PGA(EW)=   2.41,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.85,PGV(SUM)=   0.15
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 168.92,BAZ= 96.21,PGA(V)=   0.69,PGA(NS)=   3.09,PGA(EW)=   1.67,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.09,PGV(SUM)=   0.18
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 173.07,BAZ=131.04,PGA(V)=   0.45,PGA(NS)=   0.98,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.12
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 174.27,BAZ= 75.90,PGA(V)=   0.81,PGA(NS)=   2.43,PGA(EW)=   2.73,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.18
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 176.99,BAZ=103.28,PGA(V)=   0.58,PGA(NS)=   0.99,PGA(EW)=   0.87,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.13
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 178.67,BAZ= 89.28,PGA(V)=   3.95,PGA(NS)=   6.04,PGA(EW)=   7.98,PGV(V)=   0.13,PGV(NS)=   0.38,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=   8.93,PGV(SUM)=   0.59
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 181.11,BAZ= 93.47,PGA(V)=   2.78,PGA(NS)=   6.80,PGA(EW)=   8.26,PGV(V)=   0.11,PGV(NS)=   0.26,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   7.81,PGV(SUM)=   0.35
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 182.79,BAZ= 79.66,PGA(V)=   1.13,PGA(NS)=   2.90,PGA(EW)=   2.84,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.31,PGV(SUM)=   0.20
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 186.41,BAZ= 71.21,PGA(V)=   1.17,PGA(NS)=   2.39,PGA(EW)=   1.77,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.16
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 186.71,BAZ= 99.42,PGA(V)=   0.94,PGA(NS)=   1.26,PGA(EW)=   1.47,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.12
