Origin Time:2024/04/03 23:42:36
Lon:121.68°E
Lat:24.17°N
Depth:18.8km
Mag:5.1
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  95.04,BAZ=135.29,PGA(V)=   0.81,PGA(NS)=   0.80,PGA(EW)=   0.72,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.08
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  96.11,BAZ=106.44,PGA(V)=   0.44,PGA(NS)=   0.99,PGA(EW)=   1.61,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.12
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist=  96.41,BAZ=167.68,PGA(V)=   1.44,PGA(NS)=   1.18,PGA(EW)=   1.58,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.12
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist=  96.93,BAZ=116.91,PGA(V)=   0.42,PGA(NS)=   0.76,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist=  97.65,BAZ=170.21,PGA(V)=   0.89,PGA(NS)=   1.65,PGA(EW)=   1.21,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.10
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  99.29,BAZ=137.36,PGA(V)=   0.67,PGA(NS)=   2.78,PGA(EW)=   3.01,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.58,PGV(SUM)=   0.21
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  99.76,BAZ=157.29,PGA(V)=   1.11,PGA(NS)=   1.83,PGA(EW)=   1.51,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.02,PGV(SUM)=   0.10
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  99.78,BAZ=124.85,PGA(V)=   0.71,PGA(NS)=   1.11,PGA(EW)=   1.68,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.11
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 100.44,BAZ= 81.96,PGA(V)=   0.70,PGA(NS)=   1.93,PGA(EW)=   1.01,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.09
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 100.53,BAZ=185.99,PGA(V)=   0.76,PGA(NS)=   1.76,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.16
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 100.61,BAZ=177.84,PGA(V)=   0.89,PGA(NS)=   2.45,PGA(EW)=   2.51,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.57,PGV(SUM)=   0.09
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 101.01,BAZ= 88.54,PGA(V)=   0.60,PGA(NS)=   1.29,PGA(EW)=   1.45,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.12
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 101.44,BAZ=150.65,PGA(V)=   0.59,PGA(NS)=   0.96,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.15
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 105.14,BAZ= 44.12,PGA(V)=   0.26,PGA(NS)=   0.85,PGA(EW)=   1.19,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 105.53,BAZ= 74.06,PGA(V)=   0.97,PGA(NS)=   0.73,PGA(EW)=   0.55,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.06
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 106.46,BAZ=166.00,PGA(V)=   0.52,PGA(NS)=   0.97,PGA(EW)=   0.98,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.10
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 107.20,BAZ=100.66,PGA(V)=   0.30,PGA(NS)=   0.51,PGA(EW)=   0.98,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.10
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 112.64,BAZ=145.48,PGA(V)=   0.31,PGA(NS)=   1.55,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.14
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 112.68,BAZ=168.15,PGA(V)=   0.76,PGA(NS)=   2.18,PGA(EW)=   1.52,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.19
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.01,BAZ= 78.32,PGA(V)=   0.97,PGA(NS)=   0.92,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.08
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 114.23,BAZ= 85.03,PGA(V)=   0.90,PGA(NS)=   1.84,PGA(EW)=   2.75,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.09
