Origin Time:2024/04/23 10:21:00
Lon:121.54°E
Lat:23.86°N
Depth:8.9km
Mag:5.5
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.89,BAZ=231.36,PGA(V)=  96.18,PGA(NS)= 265.06,PGA(EW)= 302.03,PGV(V)=   4.35,PGV(NS)=  12.58,PGV(EW)=  14.42,Int= 5弱,PGA(SUM)= 321.09,PGV(SUM)=  18.26
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 102.57,BAZ=192.29,PGA(V)=   0.82,PGA(NS)=   1.70,PGA(EW)=   1.65,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.04,PGV(SUM)=   0.26
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 102.97,BAZ=103.72,PGA(V)=   1.62,PGA(NS)=   4.11,PGA(EW)=   4.51,PGV(V)=   0.22,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   4.51,PGV(SUM)=   0.30
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 103.42,BAZ= 81.12,PGA(V)=   1.34,PGA(NS)=   6.21,PGA(EW)=   3.47,PGV(V)=   0.11,PGV(NS)=   0.69,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   6.18,PGV(SUM)=   0.69
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 106.27,BAZ= 64.02,PGA(V)=   1.18,PGA(NS)=   3.06,PGA(EW)=   2.75,PGV(V)=   0.12,PGV(NS)=   0.19,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   3.18,PGV(SUM)=   0.26
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 106.39,BAZ=120.59,PGA(V)=   0.66,PGA(NS)=   1.18,PGA(EW)=   1.03,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.19
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 106.74,BAZ=137.10,PGA(V)=   0.81,PGA(NS)=   1.53,PGA(EW)=   1.64,PGV(V)=   0.14,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.22
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 107.44,BAZ=154.66,PGA(V)=   1.09,PGA(NS)=   2.68,PGA(EW)=   2.79,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.18
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 107.76,BAZ= 85.87,PGA(V)=   0.97,PGA(NS)=   1.98,PGA(EW)=   2.42,PGV(V)=   0.17,PGV(NS)=   0.32,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.36
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 108.26,BAZ=159.94,PGA(V)=   0.96,PGA(NS)=   2.08,PGA(EW)=   2.06,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.27,PGV(SUM)=   0.16
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 112.48,BAZ=113.05,PGA(V)=   3.57,PGA(NS)=   2.67,PGA(EW)=   3.07,PGV(V)=   0.34,PGV(NS)=   0.35,PGV(EW)=   0.48,Int= 2級,PGA(SUM)=   3.21,PGV(SUM)=   0.58
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist= 113.57,BAZ= 21.72,PGA(V)=   0.54,PGA(NS)=   1.22,PGA(EW)=   0.83,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.14
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 113.93,BAZ=143.29,PGA(V)=   0.94,PGA(NS)=   1.45,PGA(EW)=   1.49,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.17
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 113.99,BAZ=194.91,PGA(V)=   0.61,PGA(NS)=   1.39,PGA(EW)=   1.30,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.17
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 114.66,BAZ= 71.58,PGA(V)=   1.41,PGA(NS)=   2.25,PGA(EW)=   2.39,PGV(V)=   0.13,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.26
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 114.85,BAZ=152.48,PGA(V)=   0.84,PGA(NS)=   1.17,PGA(EW)=   1.08,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.19
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 115.13,BAZ=100.88,PGA(V)=   1.59,PGA(NS)=   2.19,PGA(EW)=   2.80,PGV(V)=   0.13,PGV(NS)=   0.17,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.26
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 115.94,BAZ= 54.01,PGA(V)=   0.57,PGA(NS)=   0.89,PGA(EW)=   1.03,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.14
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 116.46,BAZ=167.18,PGA(V)=   0.78,PGA(NS)=   1.68,PGA(EW)=   1.42,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.17
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 118.54,BAZ= 92.33,PGA(V)=   1.36,PGA(NS)=   3.78,PGA(EW)=   2.52,PGV(V)=   0.13,PGV(NS)=   0.31,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.11,PGV(SUM)=   0.32
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 118.99,BAZ= 80.82,PGA(V)=   1.04,PGA(NS)=   4.21,PGA(EW)=   2.95,PGV(V)=   0.10,PGV(NS)=   0.52,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   4.69,PGV(SUM)=   0.54
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 119.94,BAZ=153.52,PGA(V)=   0.85,PGA(NS)=   1.39,PGA(EW)=   1.54,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.18
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 120.00,BAZ= 70.44,PGA(V)=   0.64,PGA(NS)=   2.27,PGA(EW)=   2.45,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.22
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 120.82,BAZ=171.95,PGA(V)=   0.75,PGA(NS)=   1.83,PGA(EW)=   1.55,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.87,PGV(SUM)=   0.16
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 121.91,BAZ=179.23,PGA(V)=   0.77,PGA(NS)=   1.44,PGA(EW)=   1.60,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.15
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.51,BAZ= 90.13,PGA(V)=   0.99,PGA(NS)=   2.46,PGA(EW)=   2.11,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.55,PGV(SUM)=   0.24
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 127.53,BAZ= 54.17,PGA(V)=   0.74,PGA(NS)=   1.16,PGA(EW)=   0.61,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.12
