Origin Time:2023/12/02 06:27:30
Lon:121.44°E
Lat:23.42°N
Depth:23.8km
Mag:4.9
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 106.16,BAZ=124.38,PGA(V)=   0.93,PGA(NS)=   1.34,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.10
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 111.28,BAZ=105.50,PGA(V)=   0.26,PGA(NS)=   1.02,PGA(EW)=   0.55,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.07
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 112.93,BAZ=177.02,PGA(V)=   0.40,PGA(NS)=   0.92,PGA(EW)=   0.67,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.05
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 113.40,BAZ= 58.59,PGA(V)=   0.77,PGA(NS)=   1.46,PGA(EW)=   1.04,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.09
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 115.80,BAZ=129.16,PGA(V)=   1.22,PGA(NS)=   4.11,PGA(EW)=   2.97,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.15,PGV(SUM)=   0.15
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 117.07,BAZ= 92.05,PGA(V)=   0.51,PGA(NS)=   1.25,PGA(EW)=   1.52,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.17
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 120.04,BAZ= 68.47,PGA(V)=   0.53,PGA(NS)=   1.31,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.09
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 120.74,BAZ=116.32,PGA(V)=   0.92,PGA(NS)=   1.09,PGA(EW)=   1.64,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.08
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 121.82,BAZ= 75.09,PGA(V)=   0.46,PGA(NS)=   1.02,PGA(EW)=   1.05,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.10
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 122.64,BAZ=146.88,PGA(V)=   0.68,PGA(NS)=   0.93,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.07
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 124.25,BAZ= 95.29,PGA(V)=   0.20,PGA(NS)=   0.74,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.08
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 124.58,BAZ= 86.34,PGA(V)=   0.33,PGA(NS)=   2.38,PGA(EW)=   2.35,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.89,PGV(SUM)=   0.21
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.13,BAZ=112.68,PGA(V)=   0.39,PGA(NS)=   0.93,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.11
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 129.59,BAZ=148.28,PGA(V)=   0.38,PGA(NS)=   0.67,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.06
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 131.19,BAZ=108.98,PGA(V)=   0.47,PGA(NS)=   0.64,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 131.53,BAZ=134.84,PGA(V)=   0.73,PGA(NS)=   1.73,PGA(EW)=   1.30,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.11
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist= 134.99,BAZ= 56.89,PGA(V)=   1.02,PGA(NS)=   0.95,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.07
