Origin Time:2024/04/13 02:44:36
Lon:120.20°E
Lat:23.36°N
Depth:11.2km
Mag:5.0
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 105.91,BAZ=223.10,PGA(V)=   0.46,PGA(NS)=   1.00,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist= 108.06,BAZ=303.66,PGA(V)=   0.36,PGA(NS)=   0.84,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 108.10,BAZ=285.64,PGA(V)=   0.91,PGA(NS)=   1.18,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.06
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 113.08,BAZ=278.99,PGA(V)=   0.48,PGA(NS)=   1.59,PGA(EW)=   2.05,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.09
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist= 114.22,BAZ=270.62,PGA(V)=   0.35,PGA(NS)=   0.74,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.07
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist= 116.37,BAZ=262.04,PGA(V)=   0.39,PGA(NS)=   1.22,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.07
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 118.33,BAZ=202.16,PGA(V)=   0.69,PGA(NS)=   2.03,PGA(EW)=   1.29,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.09
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 124.32,BAZ=208.31,PGA(V)=   0.85,PGA(NS)=   0.97,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.06
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 126.93,BAZ=216.66,PGA(V)=   0.96,PGA(NS)=   1.03,PGA(EW)=   1.40,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.09
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 130.47,BAZ=206.30,PGA(V)=   0.55,PGA(NS)=   1.11,PGA(EW)=   0.69,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.03
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 138.94,BAZ=224.74,PGA(V)=   0.70,PGA(NS)=   3.22,PGA(EW)=   1.23,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.25,PGV(SUM)=   0.15
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 139.52,BAZ=231.45,PGA(V)=   0.31,PGA(NS)=   1.07,PGA(EW)=   1.39,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.06
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 159.35,BAZ=244.62,PGA(V)=   0.21,PGA(NS)=   0.57,PGA(EW)=   0.84,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.05
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 160.74,BAZ=234.23,PGA(V)=   0.97,PGA(NS)=   1.53,PGA(EW)=   1.39,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.06
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 161.76,BAZ=204.85,PGA(V)=   0.43,PGA(NS)=   0.89,PGA(EW)=   1.06,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.03
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 177.18,BAZ=210.57,PGA(V)=   0.34,PGA(NS)=   1.22,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.04
