Origin Time:2020/06/11 09:38:26
Lon:122.39°E
Lat:24.50°N
Depth:90.8km
Mag:5.4
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 179.43,AZ= 60.26,PGA(V)=   0.59,PGA(NS)=   2.40,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.08
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 182.03,AZ= 37.66,PGA(V)=   0.37,PGA(NS)=   1.16,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.06
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 185.31,AZ= 69.24,PGA(V)=   0.63,PGA(NS)=   0.86,PGA(EW)=   0.67,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.04
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 186.44,AZ= 33.61,PGA(V)=   0.85,PGA(NS)=   2.18,PGA(EW)=   2.01,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.06
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 190.85,AZ= 81.87,PGA(V)=   3.79,PGA(NS)=   2.25,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.04
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 192.60,AZ= 75.75,PGA(V)=   0.75,PGA(NS)=   1.21,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.05
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 192.86,AZ= 71.95,PGA(V)=   0.95,PGA(NS)=   1.09,PGA(EW)=   1.04,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.05
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 200.87,AZ= 43.63,PGA(V)=   0.62,PGA(NS)=   0.79,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.03
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 205.48,AZ= 63.93,PGA(V)=   0.58,PGA(NS)=   1.02,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.05
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 224.42,AZ= 71.64,PGA(V)=   0.63,PGA(NS)=   0.97,PGA(EW)=   1.25,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.05
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 227.69,AZ= 60.78,PGA(V)=   0.36,PGA(NS)=   0.98,PGA(EW)=   0.87,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.05
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 285.55,AZ= 17.25,PGA(V)=   0.29,PGA(NS)=   1.06,PGA(EW)=   0.74,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.03
