Origin Time:2015/10/13 19:49:04
Lon:121.65°E
Lat:23.48°N
Depth:49.1km
Mag:5.5
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 154.54,AZ=149.25,PGA(V)=   0.72,PGA(NS)=   1.08,PGA(EW)=   1.02
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist= 157.31,AZ= 69.77,PGA(V)=   0.96,PGA(NS)=   1.38,PGA(EW)=   1.32
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 160.52,AZ=  3.27,PGA(V)=   1.08,PGA(NS)=   6.10,PGA(EW)=   3.59
Stacode=SCZ ,Staname=枋寮  ,Stalon=120.63,Stalat=22.37,Dist= 161.72,AZ= 40.27,PGA(V)=   0.54,PGA(NS)=   1.79,PGA(EW)=   2.09
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 163.99,AZ= 76.82,PGA(V)=   0.60,PGA(NS)=   1.85,PGA(EW)=   1.68
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 168.87,AZ=172.89,PGA(V)=   0.60,PGA(NS)=   0.78,PGA(EW)=   1.02
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist= 170.20,AZ= 53.31,PGA(V)=   0.66,PGA(NS)=   1.50,PGA(EW)=   1.38
Stacode=NTY ,Staname=桃園市,Stalon=121.31,Stalat=25.00,Dist= 171.17,AZ=168.34,PGA(V)=   0.42,PGA(NS)=   1.02,PGA(EW)=   0.78
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 188.31,AZ= 29.45,PGA(V)=   0.42,PGA(NS)=   1.74,PGA(EW)=   0.90
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 191.84,AZ= 28.64,PGA(V)=   0.66,PGA(NS)=   1.56,PGA(EW)=   1.79
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 212.98,AZ= 92.40,PGA(V)=   0.78,PGA(NS)=   0.84,PGA(EW)=   1.08
