Origin Time:2023/11/21 01:16:35
Lon:120.86°E
Lat:23.82°N
Depth:28.9km
Mag:4.6
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  70.09,BAZ= 55.07,PGA(V)=   2.40,PGA(NS)=   4.17,PGA(EW)=   4.84,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.92,PGV(SUM)=   0.12
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  71.31,BAZ=  6.25,PGA(V)=   0.60,PGA(NS)=   1.05,PGA(EW)=   1.00,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.02
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  72.09,BAZ=346.24,PGA(V)=   0.58,PGA(NS)=   0.83,PGA(EW)=   0.93,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.03
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  72.12,BAZ= 62.89,PGA(V)=   2.14,PGA(NS)=   4.19,PGA(EW)=   3.23,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   4.18,PGV(SUM)=   0.11
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  76.67,BAZ=235.96,PGA(V)=   2.36,PGA(NS)=   2.47,PGA(EW)=   2.35,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   2.62,PGV(SUM)=   0.07
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  77.86,BAZ= 25.53,PGA(V)=   0.46,PGA(NS)=   1.06,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.04
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  78.92,BAZ=257.38,PGA(V)=   0.38,PGA(NS)=   0.79,PGA(EW)=   1.13,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.06
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  81.93,BAZ=327.02,PGA(V)=   0.50,PGA(NS)=   0.80,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.04
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  82.37,BAZ=334.36,PGA(V)=   0.58,PGA(NS)=   0.94,PGA(EW)=   0.69,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.04
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist=  82.64,BAZ=177.79,PGA(V)=   1.23,PGA(NS)=   3.49,PGA(EW)=   4.29,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.83,PGV(SUM)=   0.10
