Origin Time:2024/04/17 17:17:10
Lon:121.66¢XE
Lat:23.92¢XN
Depth:33.8km
Mag:5.4
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  95.64,BAZ=145.12,PGA(V)=   0.84,PGA(NS)=   1.20,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.08
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  95.91,BAZ= 17.56,PGA(V)=   2.49,PGA(NS)=   5.59,PGA(EW)=   6.74,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   6.68,PGV(SUM)=   0.25
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  97.34,BAZ= 28.19,PGA(V)=   1.38,PGA(NS)=   2.28,PGA(EW)=   2.05,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.47,PGV(SUM)=   0.10
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  97.48,BAZ= 61.86,PGA(V)=   0.99,PGA(NS)=   2.59,PGA(EW)=   2.37,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.24
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  98.26,BAZ= 97.68,PGA(V)=   2.95,PGA(NS)=   8.92,PGA(EW)=   6.46,PGV(V)=   0.14,PGV(NS)=   0.48,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=   8.53,PGV(SUM)=   0.49
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  98.29,BAZ= 86.97,PGA(V)=   1.28,PGA(NS)=   2.95,PGA(EW)=   2.27,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.94,PGV(SUM)=   0.12
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  99.41,BAZ= 88.95,PGA(V)=   1.70,PGA(NS)=   1.88,PGA(EW)=   2.10,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.35,PGV(SUM)=   0.12
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 100.57,BAZ=117.77,PGA(V)=   1.87,PGA(NS)=   2.00,PGA(EW)=   2.75,PGV(V)=   0.12,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.47,PGV(SUM)=   0.16
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 101.92,BAZ=103.97,PGA(V)=   1.48,PGA(NS)=   5.45,PGA(EW)=   5.47,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.47,PGV(SUM)=   0.27
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 102.02,BAZ= 25.96,PGA(V)=   1.95,PGA(NS)=   2.88,PGA(EW)=   2.63,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.94,PGV(SUM)=   0.19
