Origin Time:2023/10/11 18:36:57
Lon:121.24°E
Lat:23.27°N
Depth:14.5km
Mag:5.8
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=   9.74,BAZ=328.37,PGA(V)= 163.69,PGA(NS)= 293.93,PGA(EW)= 543.52,PGV(V)=   6.59,PGV(NS)=  16.72,PGV(EW)=  27.98,Int= 5弱,PGA(SUM)= 554.30,PGV(SUM)=  29.59
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist= 110.87,BAZ= 73.73,PGA(V)=   1.80,PGA(NS)=   3.74,PGA(EW)=   4.44,PGV(V)=   0.12,PGV(NS)=   0.37,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   4.34,PGV(SUM)=   0.42
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 111.12,BAZ=111.19,PGA(V)=   1.03,PGA(NS)=   4.97,PGA(EW)=   3.83,PGV(V)=   0.18,PGV(NS)=   0.46,PGV(EW)=   0.56,Int= 2級,PGA(SUM)=   5.23,PGV(SUM)=   0.69
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist= 111.65,BAZ= 38.40,PGA(V)=   0.93,PGA(NS)=   1.38,PGA(EW)=   1.96,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.19
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 112.18,BAZ=149.41,PGA(V)=   0.88,PGA(NS)=   2.17,PGA(EW)=   2.71,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   3.05,PGV(SUM)=   0.35
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 112.52,BAZ=128.24,PGA(V)=   1.37,PGA(NS)=   3.35,PGA(EW)=   3.30,PGV(V)=   0.17,PGV(NS)=   0.55,PGV(EW)=   0.50,Int= 2級,PGA(SUM)=   3.46,PGV(SUM)=   0.58
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 113.39,BAZ=141.91,PGA(V)=   2.47,PGA(NS)=   5.15,PGA(EW)=   4.68,PGV(V)=   0.15,PGV(NS)=   0.56,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   5.24,PGV(SUM)=   0.56
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 115.28,BAZ=164.71,PGA(V)=   3.02,PGA(NS)=   4.60,PGA(EW)=   5.03,PGV(V)=   0.26,PGV(NS)=   0.35,PGV(EW)=   0.50,Int= 2級,PGA(SUM)=   5.83,PGV(SUM)=   0.61
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 117.22,BAZ=123.75,PGA(V)=   0.96,PGA(NS)=   2.63,PGA(EW)=   2.55,PGV(V)=   0.19,PGV(NS)=   0.47,PGV(EW)=   0.58,Int= 2級,PGA(SUM)=   2.94,PGV(SUM)=   0.70
Stacode=SCZ ,Staname=春日  ,Stalon=120.63,Stalat=22.37,Dist= 118.33,BAZ= 32.29,PGA(V)=   0.34,PGA(NS)=   0.76,PGA(EW)=   0.71,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 119.65,BAZ=119.42,PGA(V)=   1.23,PGA(NS)=   3.27,PGA(EW)=   2.48,PGV(V)=   0.15,PGV(NS)=   0.37,PGV(EW)=   0.49,Int= 2級,PGA(SUM)=   3.34,PGV(SUM)=   0.52
Stacode=KAU1,Staname=高雄市,Stalon=120.31,Stalat=22.59,Dist= 122.08,BAZ= 51.91,PGA(V)=   0.53,PGA(NS)=   1.17,PGA(EW)=   1.17,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.20
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist= 122.64,BAZ= 55.20,PGA(V)=   0.40,PGA(NS)=   1.31,PGA(EW)=   1.19,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.18
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 125.70,BAZ=204.19,PGA(V)=   2.24,PGA(NS)=   2.99,PGA(EW)=   3.49,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.61,PGV(SUM)=   0.24
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist= 127.34,BAZ=203.35,PGA(V)=   2.38,PGA(NS)=   3.51,PGA(EW)=   3.65,PGV(V)=   0.14,PGV(NS)=   0.23,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   3.87,PGV(SUM)=   0.26
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 127.84,BAZ=158.34,PGA(V)=   2.45,PGA(NS)=   5.02,PGA(EW)=   4.66,PGV(V)=   0.16,PGV(NS)=   0.41,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   5.25,PGV(SUM)=   0.45
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 129.64,BAZ=186.19,PGA(V)=   2.42,PGA(NS)=   7.23,PGA(EW)=   7.23,PGV(V)=   0.14,PGV(NS)=   0.63,PGV(EW)=   0.49,Int= 2級,PGA(SUM)=   7.69,PGV(SUM)=   0.69
