Origin Time:2025/01/21 00:26:25
Lon:120.53°E
Lat:23.18°N
Depth:12.7km
Mag:5.0
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  89.46,BAZ=246.53,PGA(V)=   0.47,PGA(NS)=   0.80,PGA(EW)=   0.63,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.04
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  95.69,BAZ=261.05,PGA(V)=   0.47,PGA(NS)=   1.26,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.11
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  96.85,BAZ=190.45,PGA(V)=   1.54,PGA(NS)=   2.77,PGA(EW)=   2.37,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.13
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist=  97.21,BAZ=174.15,PGA(V)=   1.98,PGA(NS)=   4.42,PGA(EW)=   3.61,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.33,PGV(SUM)=   0.19
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  99.45,BAZ=181.81,PGA(V)=   2.47,PGA(NS)=   8.45,PGA(EW)=   7.20,PGV(V)=   0.06,PGV(NS)=   0.23,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   7.80,PGV(SUM)=   0.24
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 104.50,BAZ=202.04,PGA(V)=   0.55,PGA(NS)=   1.94,PGA(EW)=   1.84,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.21,PGV(SUM)=   0.11
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist= 106.62,BAZ=239.62,PGA(V)=   0.34,PGA(NS)=   0.94,PGA(EW)=   0.59,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.07
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 107.27,BAZ=113.31,PGA(V)=   1.08,PGA(NS)=   4.56,PGA(EW)=   3.67,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.72,PGV(SUM)=   0.09
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 107.91,BAZ=188.52,PGA(V)=   0.56,PGA(NS)=   1.07,PGA(EW)=   0.96,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 108.17,BAZ=217.73,PGA(V)=   0.53,PGA(NS)=   0.84,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.03
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist= 116.56,BAZ=233.23,PGA(V)=   0.32,PGA(NS)=   0.81,PGA(EW)=   0.63,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 119.01,BAZ=179.81,PGA(V)=   2.67,PGA(NS)=   4.52,PGA(EW)=   3.80,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.52,PGV(SUM)=   0.25
