Origin Time:2019/06/04 17:46:18
Lon:121.61°E
Lat:22.84°N
Depth:14.7km
Mag:5.9
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 162.87,AZ=184.94,PGA(V)=   1.35,PGA(NS)=   2.75,PGA(EW)=   2.10
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist= 165.19,AZ=184.52,PGA(V)=   1.15,PGA(NS)=   1.91,PGA(EW)=   1.41
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 166.51,AZ=121.88,PGA(V)=   1.02,PGA(NS)=   3.86,PGA(EW)=   4.26
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 172.66,AZ=146.72,PGA(V)=   0.68,PGA(NS)=   2.31,PGA(EW)=   1.58
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 174.22,AZ=141.85,PGA(V)=   1.28,PGA(NS)=   2.68,PGA(EW)=   2.65
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 174.28,AZ=141.38,PGA(V)=   6.17,PGA(NS)=  20.95,PGA(EW)=   7.47
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 175.98,AZ=184.57,PGA(V)=   0.91,PGA(NS)=   2.02,PGA(EW)=   2.02
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 176.14,AZ=129.86,PGA(V)=   1.01,PGA(NS)=   2.68,PGA(EW)=   2.22
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 178.21,AZ=172.43,PGA(V)=   0.83,PGA(NS)=   2.32,PGA(EW)=   2.08
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist= 178.31,AZ=185.47,PGA(V)=   1.19,PGA(NS)=   1.69,PGA(EW)=   2.82
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.77,Stalat=24.35,Dist= 187.27,AZ=152.81,PGA(V)=   1.37,PGA(NS)=   3.59,PGA(EW)=   3.83
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 193.97,AZ=149.27,PGA(V)=   1.26,PGA(NS)=   3.35,PGA(EW)=   2.24
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 198.72,AZ=183.09,PGA(V)=   0.55,PGA(NS)=   0.69,PGA(EW)=   1.09
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 198.89,AZ=178.88,PGA(V)=   0.39,PGA(NS)=   1.29,PGA(EW)=   1.53
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 204.49,AZ=165.74,PGA(V)=   0.42,PGA(NS)=   0.62,PGA(EW)=   0.91
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 205.52,AZ=155.97,PGA(V)=   1.95,PGA(NS)=   2.69,PGA(EW)=   3.90
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 207.27,AZ=162.75,PGA(V)=   0.46,PGA(NS)=   0.73,PGA(EW)=   0.83
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 207.86,AZ=182.00,PGA(V)=   0.33,PGA(NS)=   0.86,PGA(EW)=   0.83
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 213.32,AZ=183.96,PGA(V)=   0.55,PGA(NS)=   0.95,PGA(EW)=   0.91
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 216.39,AZ=165.73,PGA(V)=   0.99,PGA(NS)=   1.32,PGA(EW)=   1.22
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 218.77,AZ=168.29,PGA(V)=   0.63,PGA(NS)=   2.25,PGA(EW)=   1.94
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 228.20,AZ=164.53,PGA(V)=   0.46,PGA(NS)=   0.88,PGA(EW)=   0.78
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 235.04,AZ=177.85,PGA(V)=   0.56,PGA(NS)=   1.32,PGA(EW)=   1.33
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 241.07,AZ=172.38,PGA(V)=   0.36,PGA(NS)=   0.81,PGA(EW)=   0.84
