Origin Time:2023/02/08 18:49:59
Lon:121.55°E
Lat:23.44°N
Depth:36.7km
Mag:5.6
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 121.45,BAZ=102.81,PGA(V)=   1.48,PGA(NS)=   3.47,PGA(EW)=   3.24,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   4.08,PGV(SUM)=   0.18
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 123.05,BAZ=124.86,PGA(V)=   7.86,PGA(NS)=  24.22,PGA(EW)=  23.96,PGV(V)=   0.17,PGV(NS)=   0.71,PGV(EW)=   0.68,Int= 4級,PGA(SUM)=  28.72,PGV(SUM)=   0.94
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist= 123.62,BAZ= 48.53,PGA(V)=   0.58,PGA(NS)=   1.09,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.04
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 124.50,BAZ= 60.18,PGA(V)=   1.87,PGA(NS)=   2.74,PGA(EW)=   2.66,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.27,PGV(SUM)=   0.20
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 126.86,BAZ=141.95,PGA(V)=   2.67,PGA(NS)=   3.85,PGA(EW)=   2.96,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.85,PGV(SUM)=   0.23
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 128.22,BAZ= 90.62,PGA(V)=   1.86,PGA(NS)=   3.99,PGA(EW)=   3.68,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   4.09,PGV(SUM)=   0.22
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist= 128.31,BAZ=178.36,PGA(V)=   0.77,PGA(NS)=   1.30,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.07
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 129.74,BAZ=113.02,PGA(V)=   5.85,PGA(NS)=   6.62,PGA(EW)=   5.98,PGV(V)=   0.14,PGV(NS)=   0.22,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   6.93,PGV(SUM)=   0.30
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 131.52,BAZ= 69.12,PGA(V)=   1.29,PGA(NS)=   2.93,PGA(EW)=   2.76,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.04,PGV(SUM)=   0.21
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 132.19,BAZ=181.10,PGA(V)=   0.89,PGA(NS)=   3.56,PGA(EW)=   2.95,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.29,PGV(SUM)=   0.10
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist= 132.72,BAZ=193.80,PGA(V)=   0.52,PGA(NS)=   0.67,PGA(EW)=   0.98,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.05
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 132.85,BAZ=187.39,PGA(V)=   0.92,PGA(NS)=   1.90,PGA(EW)=   1.56,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.11
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 133.39,BAZ= 75.16,PGA(V)=   1.01,PGA(NS)=   2.18,PGA(EW)=   2.12,PGV(V)=   0.08,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.83,PGV(SUM)=   0.25
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 133.53,BAZ=143.56,PGA(V)=   1.33,PGA(NS)=   2.77,PGA(EW)=   2.07,PGV(V)=   0.06,PGV(NS)=   0.27,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.83,PGV(SUM)=   0.30
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist= 133.98,BAZ= 53.41,PGA(V)=   0.44,PGA(NS)=   1.26,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.17
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 135.21,BAZ= 93.67,PGA(V)=   1.14,PGA(NS)=   3.82,PGA(EW)=   2.53,PGV(V)=   0.04,PGV(NS)=   0.22,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.00,PGV(SUM)=   0.23
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 135.97,BAZ= 85.46,PGA(V)=   1.31,PGA(NS)=   4.95,PGA(EW)=   4.92,PGV(V)=   0.05,PGV(NS)=   0.27,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   5.61,PGV(SUM)=   0.29
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 136.26,BAZ=137.24,PGA(V)=   1.41,PGA(NS)=   2.85,PGA(EW)=   5.59,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   6.02,PGV(SUM)=   0.28
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 136.33,BAZ= 98.96,PGA(V)=   0.95,PGA(NS)=   1.84,PGA(EW)=   1.98,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.10
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 136.55,BAZ=109.78,PGA(V)=   1.91,PGA(NS)=   4.28,PGA(EW)=   4.76,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   5.29,PGV(SUM)=   0.29
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 137.35,BAZ= 51.75,PGA(V)=   0.81,PGA(NS)=   1.00,PGA(EW)=   1.71,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.91,PGV(SUM)=   0.12
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 137.40,BAZ=172.25,PGA(V)=   0.68,PGA(NS)=   0.99,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.06
