Origin Time:2022/09/17 22:35:14
Lon:121.18¢XE
Lat:23.10¢XN
Depth:9.9km
Mag:5.4
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 124.95,AZ=308.64,PGA(V)=   1.07,PGA(NS)=   1.52,PGA(EW)=   1.66,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.17
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 125.63,AZ=329.76,PGA(V)=   1.17,PGA(NS)=   3.00,PGA(EW)=   2.49,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.19,PGV(SUM)=   0.20
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist= 125.72,AZ= 21.15,PGA(V)=   0.33,PGA(NS)=   1.13,PGA(EW)=   0.61,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.03
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist= 126.48,AZ= 14.17,PGA(V)=   1.78,PGA(NS)=   2.23,PGA(EW)=   1.93,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.50,PGV(SUM)=   0.10
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist= 127.33,AZ=  3.01,PGA(V)=   0.43,PGA(NS)=   0.74,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.07
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist= 127.37,AZ=359.25,PGA(V)=   0.29,PGA(NS)=   0.89,PGA(EW)=   0.49,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist= 129.22,AZ=200.12,PGA(V)=   0.34,PGA(NS)=   1.10,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.14
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 132.62,AZ=349.70,PGA(V)=   0.75,PGA(NS)=   1.09,PGA(EW)=   1.59,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.64,PGV(SUM)=   0.15
Stacode=SNW ,Staname=«nÆW  ,Stalon=120.75,Stalat=21.96,Dist= 133.69,AZ=199.26,PGA(V)=   0.49,PGA(NS)=   0.80,PGA(EW)=   0.82,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.12
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist= 136.83,AZ=194.06,PGA(V)=   0.25,PGA(NS)=   0.84,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.09
