Origin Time:2021/09/06 22:00:26
Lon:122.08¢XE
Lat:23.85¢XN
Depth:41.1km
Mag:5.9
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist= 144.36,AZ= 25.49,PGA(V)=   1.47,PGA(NS)=   3.01,PGA(EW)=   2.07,PGV(V)=   0.10,PGV(NS)=   0.25,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.86,PGV(SUM)=   0.26
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 145.40,AZ=103.02,PGA(V)=   2.11,PGA(NS)=   1.73,PGA(EW)=   2.65,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.14
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 146.80,AZ=115.20,PGA(V)=   1.29,PGA(NS)=   1.29,PGA(EW)=   1.46,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.17
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 148.68,AZ=133.73,PGA(V)=   1.50,PGA(NS)=   2.72,PGA(EW)=   1.64,PGV(V)=   0.08,PGV(NS)=   0.25,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.61,PGV(SUM)=   0.27
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist= 149.85,AZ=148.19,PGA(V)=   0.88,PGA(NS)=   1.61,PGA(EW)=   1.96,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.12
Stacode=NMLH,Staname=­]®ß¥«,Stalon=120.79,Stalat=24.54,Dist= 151.15,AZ=120.24,PGA(V)=   2.83,PGA(NS)=   5.70,PGA(EW)=   6.38,PGV(V)=   0.18,PGV(NS)=   0.49,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   6.53,PGV(SUM)=   0.52
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 151.70,AZ= 60.69,PGA(V)=   1.65,PGA(NS)=   2.31,PGA(EW)=   2.15,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.16
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 152.83,AZ=135.15,PGA(V)=   1.38,PGA(NS)=   3.68,PGA(EW)=   3.34,PGV(V)=   0.10,PGV(NS)=   0.37,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   3.72,PGV(SUM)=   0.42
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 152.84,AZ= 94.59,PGA(V)=   3.03,PGA(NS)=   5.19,PGA(EW)=   6.55,PGV(V)=   0.13,PGV(NS)=   0.35,PGV(EW)=   0.36,Int= 2¯Å,PGA(SUM)=   5.94,PGV(SUM)=   0.36
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist= 153.15,AZ= 41.71,PGA(V)=   0.77,PGA(NS)=   1.10,PGA(EW)=   1.46,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.09
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 153.37,AZ=127.01,PGA(V)=   1.13,PGA(NS)=   4.05,PGA(EW)=   2.87,PGV(V)=   0.08,PGV(NS)=   0.38,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   4.75,PGV(SUM)=   0.38
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist= 153.82,AZ= 37.79,PGA(V)=   0.83,PGA(NS)=   1.83,PGA(EW)=   1.69,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.98,PGV(SUM)=   0.20
