Origin Time:2022/09/14 09:35:51
Lon:121.37°E
Lat:22.49°N
Depth:19.2km
Mag:5.3
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 141.28,AZ=329.90,PGA(V)=   0.89,PGA(NS)=   2.18,PGA(EW)=   2.03,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.60,PGV(SUM)=   0.15
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 141.50,AZ=302.15,PGA(V)=   1.15,PGA(NS)=   2.28,PGA(EW)=   2.55,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.86,PGV(SUM)=   0.16
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 143.28,AZ=338.36,PGA(V)=   0.63,PGA(NS)=   1.22,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.06
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist= 144.67,AZ=  7.88,PGA(V)=   0.30,PGA(NS)=   0.66,PGA(EW)=   0.72,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 146.79,AZ=319.16,PGA(V)=   1.17,PGA(NS)=   3.24,PGA(EW)=   2.27,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.36,PGV(SUM)=   0.19
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 147.07,AZ=321.43,PGA(V)=   1.43,PGA(NS)=   3.00,PGA(EW)=   2.41,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.01,PGV(SUM)=   0.20
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 150.20,AZ=298.79,PGA(V)=   0.62,PGA(NS)=   1.94,PGA(EW)=   2.15,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.27,PGV(SUM)=   0.11
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 150.88,AZ=308.81,PGA(V)=   0.31,PGA(NS)=   1.21,PGA(EW)=   1.12,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.10
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 153.41,AZ=314.07,PGA(V)=   1.11,PGA(NS)=   2.01,PGA(EW)=   1.71,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.13
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 155.20,AZ=328.19,PGA(V)=   0.61,PGA(NS)=   1.41,PGA(EW)=   1.53,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.10
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 157.98,AZ=  8.68,PGA(V)=   0.38,PGA(NS)=   1.02,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.04
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 159.77,AZ=327.83,PGA(V)=   1.17,PGA(NS)=   1.64,PGA(EW)=   1.79,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.16
