Origin Time:2023/09/12 19:03:17
Lon:121.08°E
Lat:19.30°N
Depth:59.9km
Mag:6.8
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 508.37,BAZ=175.47,PGA(V)=   0.42,PGA(NS)=   1.04,PGA(EW)=   0.90,PGV(V)=   0.07,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.07
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 511.73,BAZ=170.79,PGA(V)=   0.88,PGA(NS)=   2.86,PGA(EW)=   1.86,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.17
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 512.61,BAZ=186.05,PGA(V)=   0.43,PGA(NS)=   1.10,PGA(EW)=   0.96,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.11
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 514.82,BAZ=171.89,PGA(V)=   2.01,PGA(NS)=   2.25,PGA(EW)=   2.60,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.16
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 518.66,BAZ=174.27,PGA(V)=   1.18,PGA(NS)=   1.23,PGA(EW)=   1.12,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.26
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 520.62,BAZ=186.09,PGA(V)=   0.38,PGA(NS)=   0.87,PGA(EW)=   1.17,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.18
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 532.00,BAZ=174.18,PGA(V)=   2.40,PGA(NS)=   3.69,PGA(EW)=   4.10,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.60,PGV(SUM)=   0.13
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 536.70,BAZ=182.13,PGA(V)=   0.37,PGA(NS)=   0.68,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.07
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 540.95,BAZ=185.96,PGA(V)=   0.18,PGA(NS)=   0.76,PGA(EW)=   0.44,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.04
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 544.94,BAZ=184.37,PGA(V)=   1.11,PGA(NS)=   1.21,PGA(EW)=   1.20,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.07
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 548.15,BAZ=180.88,PGA(V)=   0.33,PGA(NS)=   1.02,PGA(EW)=   0.52,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.07
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 551.38,BAZ=178.56,PGA(V)=   0.38,PGA(NS)=   0.70,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.09
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 559.68,BAZ=176.83,PGA(V)=   0.32,PGA(NS)=   0.71,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.06
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 569.75,BAZ=183.13,PGA(V)=   0.26,PGA(NS)=   0.83,PGA(EW)=   1.05,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.09
