Origin Time:2024/04/23 05:14:47
Lon:121.52°E
Lat:23.75°N
Depth:5.7km
Mag:5.1
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 104.74,BAZ=110.38,PGA(V)=   0.77,PGA(NS)=   0.94,PGA(EW)=   1.25,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.10
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 105.72,BAZ= 92.33,PGA(V)=   0.69,PGA(NS)=   0.99,PGA(EW)=   0.86,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.13
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 108.43,BAZ=188.63,PGA(V)=   0.32,PGA(NS)=   0.57,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.11
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 114.71,BAZ=141.88,PGA(V)=   0.29,PGA(NS)=   0.87,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.09
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 114.73,BAZ= 75.81,PGA(V)=   0.24,PGA(NS)=   0.82,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.11
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 116.11,BAZ=118.89,PGA(V)=   0.62,PGA(NS)=   0.91,PGA(EW)=   0.98,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.25,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.31
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 116.24,BAZ=106.90,PGA(V)=   0.50,PGA(NS)=   0.90,PGA(EW)=   0.73,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.12
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 117.74,BAZ=157.99,PGA(V)=   0.38,PGA(NS)=   0.81,PGA(EW)=   0.90,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.08
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 117.82,BAZ= 98.24,PGA(V)=   1.56,PGA(NS)=   1.55,PGA(EW)=   1.40,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.22
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 119.08,BAZ=162.77,PGA(V)=   0.34,PGA(NS)=   0.76,PGA(EW)=   1.10,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.16
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 121.41,BAZ= 68.74,PGA(V)=   0.46,PGA(NS)=   1.02,PGA(EW)=   1.56,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.20
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 122.80,BAZ=147.34,PGA(V)=   0.33,PGA(NS)=   0.93,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.14
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 126.13,BAZ=194.33,PGA(V)=   0.36,PGA(NS)=   0.60,PGA(EW)=   0.73,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.11
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 126.28,BAZ= 95.61,PGA(V)=   0.43,PGA(NS)=   0.85,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.13
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 127.87,BAZ=169.19,PGA(V)=   0.49,PGA(NS)=   0.84,PGA(EW)=   0.53,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.11
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 129.53,BAZ= 75.48,PGA(V)=   0.25,PGA(NS)=   0.60,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.16
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 130.09,BAZ=156.62,PGA(V)=   0.32,PGA(NS)=   0.87,PGA(EW)=   1.15,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.15
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 132.57,BAZ= 92.60,PGA(V)=   0.51,PGA(NS)=   0.98,PGA(EW)=   0.60,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.10
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 134.49,BAZ= 79.20,PGA(V)=   0.22,PGA(NS)=   0.68,PGA(EW)=   1.16,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.13
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 140.64,BAZ=178.02,PGA(V)=   0.37,PGA(NS)=   0.82,PGA(EW)=   0.83,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.11
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 147.28,BAZ=160.90,PGA(V)=   0.19,PGA(NS)=   0.46,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.16
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 148.69,BAZ=190.16,PGA(V)=   0.21,PGA(NS)=   0.86,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.11
