Origin Time:2025/04/09 09:53:25
Lon:121.81¢XE
Lat:24.60¢XN
Depth:72.4km
Mag:5.8
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  76.11,BAZ= 59.56,PGA(V)=   7.02,PGA(NS)=  19.52,PGA(EW)=  15.70,PGV(V)=   0.34,PGV(NS)=   1.06,PGV(EW)=   0.83,Int= 3¯Å,PGA(SUM)=  22.31,PGV(SUM)=   1.35
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  76.98,BAZ= 24.63,PGA(V)=   5.58,PGA(NS)=   9.65,PGA(EW)=   9.42,PGV(V)=   0.16,PGV(NS)=   0.23,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   7.41,PGV(SUM)=   0.29
Stacode=NSM ,Staname=¥Ûªù  ,Stalon=121.59,Stalat=25.29,Dist=  79.62,BAZ=163.77,PGA(V)=   2.55,PGA(NS)=   3.95,PGA(EW)=   4.39,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   5.49,PGV(SUM)=   0.20
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  79.71,BAZ= 15.30,PGA(V)=   5.86,PGA(NS)=  15.43,PGA(EW)=  14.66,PGV(V)=   0.29,PGV(NS)=   0.68,PGV(EW)=   0.92,Int= 3¯Å,PGA(SUM)=  15.74,PGV(SUM)=   0.96
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  80.43,BAZ= 93.88,PGA(V)=   2.23,PGA(NS)=   7.19,PGA(EW)=   7.67,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   6.75,PGV(SUM)=   0.21
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  81.08,BAZ= 92.50,PGA(V)=   2.87,PGA(NS)=   5.16,PGA(EW)=   6.10,PGV(V)=   0.15,PGV(NS)=   0.22,PGV(EW)=   0.39,Int= 2¯Å,PGA(SUM)=   6.58,PGV(SUM)=   0.40
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist=  82.48,BAZ=104.06,PGA(V)=   2.58,PGA(NS)=   7.67,PGA(EW)=   5.05,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   7.90,PGV(SUM)=   0.37
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist=  84.36,BAZ=107.63,PGA(V)=   1.67,PGA(NS)=   2.98,PGA(EW)=   4.47,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.85,PGV(SUM)=   0.33
Stacode=H176,Staname=®õ¦w  ,Stalon=120.94,Stalat=24.47,Dist=  89.18,BAZ= 80.54,PGA(V)=   1.42,PGA(NS)=   2.22,PGA(EW)=   2.38,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.15
Stacode=NHW ,Staname=·s«Î  ,Stalon=121.05,Stalat=25.01,Dist=  89.31,BAZ=120.49,PGA(V)=   1.12,PGA(NS)=   4.96,PGA(EW)=   4.58,PGV(V)=   0.05,PGV(NS)=   0.28,PGV(EW)=   0.38,Int= 2¯Å,PGA(SUM)=   6.00,PGV(SUM)=   0.40
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  93.15,BAZ= 15.57,PGA(V)=   0.56,PGA(NS)=   1.50,PGA(EW)=   1.29,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.07
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  94.41,BAZ= 67.95,PGA(V)=   1.77,PGA(NS)=   2.06,PGA(EW)=   3.41,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   3.86,PGV(SUM)=   0.28
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  94.68,BAZ= 23.20,PGA(V)=   2.93,PGA(NS)=   7.26,PGA(EW)=   6.77,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.14,PGV(SUM)=   0.18
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist=  95.49,BAZ= 95.72,PGA(V)=   2.03,PGA(NS)=   5.50,PGA(EW)=   5.81,PGV(V)=   0.09,PGV(NS)=   0.26,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   5.84,PGV(SUM)=   0.29
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  95.94,BAZ= 42.06,PGA(V)=   3.95,PGA(NS)=   5.75,PGA(EW)=   5.07,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   5.38,PGV(SUM)=   0.18
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist=  99.63,BAZ= 87.91,PGA(V)=   2.23,PGA(NS)=   2.61,PGA(EW)=   4.92,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   5.12,PGV(SUM)=   0.36
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist= 102.07,BAZ= 15.07,PGA(V)=   2.58,PGA(NS)=   7.93,PGA(EW)=   6.29,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   7.32,PGV(SUM)=   0.25
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 107.24,BAZ= 79.09,PGA(V)=   1.69,PGA(NS)=   2.51,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.23,PGV(SUM)=   0.15
