Origin Time:2024/04/07 18:01:22
Lon:121.97°E
Lat:24.16°N
Depth:41.7km
Mag:5.6
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 118.36,BAZ=125.33,PGA(V)=   1.30,PGA(NS)=   1.95,PGA(EW)=   1.60,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.35,PGV(SUM)=   0.22
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 119.52,BAZ=138.36,PGA(V)=   0.81,PGA(NS)=   2.35,PGA(EW)=   2.02,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   2.85,PGV(SUM)=   0.20
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist= 119.55,BAZ=164.77,PGA(V)=   0.45,PGA(NS)=   2.23,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.44,PGV(SUM)=   0.11
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 121.94,BAZ=127.33,PGA(V)=   1.05,PGA(NS)=   2.61,PGA(EW)=   4.39,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   4.49,PGV(SUM)=   0.27
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 122.57,BAZ= 99.67,PGA(V)=   2.35,PGA(NS)=   2.72,PGA(EW)=   4.93,PGV(V)=   0.21,PGV(NS)=   0.22,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   4.94,PGV(SUM)=   0.36
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 123.08,BAZ=154.60,PGA(V)=   0.97,PGA(NS)=   1.72,PGA(EW)=   1.50,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.13
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 124.50,BAZ=111.08,PGA(V)=   1.17,PGA(NS)=   1.95,PGA(EW)=   3.33,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   3.52,PGV(SUM)=   0.29
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 124.86,BAZ= 65.67,PGA(V)=   0.51,PGA(NS)=   1.64,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.09
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 125.13,BAZ=102.98,PGA(V)=   1.46,PGA(NS)=   3.20,PGA(EW)=   1.40,PGV(V)=   0.10,PGV(NS)=   0.31,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.40,PGV(SUM)=   0.32
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 125.74,BAZ=117.43,PGA(V)=   1.05,PGA(NS)=   2.85,PGA(EW)=   3.70,PGV(V)=   0.07,PGV(NS)=   0.29,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   3.79,PGV(SUM)=   0.31
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 126.94,BAZ= 32.95,PGA(V)=   0.39,PGA(NS)=   0.84,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.07
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 127.20,BAZ= 54.10,PGA(V)=   0.46,PGA(NS)=   1.33,PGA(EW)=   1.50,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.09
Stacode=NSM ,Staname=石門  ,Stalon=121.59,Stalat=25.29,Dist= 130.70,BAZ=162.79,PGA(V)=   0.59,PGA(NS)=   0.75,PGA(EW)=   0.67,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.09
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 130.77,BAZ= 89.27,PGA(V)=   0.65,PGA(NS)=   1.07,PGA(EW)=   1.13,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.14
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 131.91,BAZ= 73.48,PGA(V)=   0.56,PGA(NS)=   0.88,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.09
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 132.38,BAZ=135.06,PGA(V)=   0.46,PGA(NS)=   2.59,PGA(EW)=   3.12,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.23,PGV(SUM)=   0.15
