Origin Time:2024/05/10 09:35:39
Lon:121.59¢XE
Lat:23.71¢XN
Depth:8.2km
Mag:5.2
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 107.38,BAZ= 90.20,PGA(V)=   0.98,PGA(NS)=   1.73,PGA(EW)=   1.45,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.17
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 108.39,BAZ=130.46,PGA(V)=   0.61,PGA(NS)=   1.29,PGA(EW)=   0.89,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.11
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist= 109.00,BAZ=167.89,PGA(V)=   0.33,PGA(NS)=   0.71,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.06
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 112.85,BAZ=111.17,PGA(V)=   0.85,PGA(NS)=   1.57,PGA(EW)=   1.37,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.11
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 113.01,BAZ= 94.35,PGA(V)=   0.60,PGA(NS)=   1.08,PGA(EW)=   0.92,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.15
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist= 115.66,BAZ=  6.22,PGA(V)=   0.35,PGA(NS)=   0.78,PGA(EW)=   0.44,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 115.72,BAZ= 80.10,PGA(V)=   0.91,PGA(NS)=   1.75,PGA(EW)=   1.66,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.16
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 117.68,BAZ=149.78,PGA(V)=   0.38,PGA(NS)=   0.87,PGA(EW)=   0.53,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.08
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 120.67,BAZ= 78.61,PGA(V)=   0.57,PGA(NS)=   2.74,PGA(EW)=   1.89,PGV(V)=   0.05,PGV(NS)=   0.28,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.08,PGV(SUM)=   0.32
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 122.71,BAZ= 88.76,PGA(V)=   0.90,PGA(NS)=   1.29,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.12
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 123.89,BAZ= 55.66,PGA(V)=   0.53,PGA(NS)=   1.08,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.08
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 124.24,BAZ=107.84,PGA(V)=   1.15,PGA(NS)=   1.18,PGA(EW)=   1.23,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.07
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 124.34,BAZ=119.05,PGA(V)=   2.94,PGA(NS)=   1.05,PGA(EW)=   1.03,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.17
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 124.43,BAZ=155.73,PGA(V)=   0.75,PGA(NS)=   0.63,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 125.37,BAZ=160.29,PGA(V)=   0.34,PGA(NS)=   1.07,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.08
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 125.45,BAZ= 99.71,PGA(V)=   0.97,PGA(NS)=   1.76,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.17,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.18
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist= 126.60,BAZ= 71.70,PGA(V)=   1.61,PGA(NS)=   2.04,PGA(EW)=   2.43,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.18
