Origin Time:2024/04/23 05:19:43
Lon:121.54°E
Lat:23.76°N
Depth:5.8km
Mag:5.7
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  90.91,BAZ=110.29,PGA(V)=   1.45,PGA(NS)=   2.65,PGA(EW)=   2.24,PGV(V)=   0.26,PGV(NS)=   0.29,PGV(EW)=   0.37,Int= 2級,PGA(SUM)=   2.68,PGV(SUM)=   0.38
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  93.64,BAZ=178.50,PGA(V)=   0.94,PGA(NS)=   0.97,PGA(EW)=   1.97,PGV(V)=   0.12,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.06,PGV(SUM)=   0.15
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  96.87,BAZ=116.35,PGA(V)=   0.96,PGA(NS)=   1.47,PGA(EW)=   1.58,PGV(V)=   0.27,PGV(NS)=   0.20,PGV(EW)=   0.27,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.31
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  97.59,BAZ=182.19,PGA(V)=   0.91,PGA(NS)=   3.18,PGA(EW)=   2.29,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.28
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  98.80,BAZ=190.65,PGA(V)=   1.93,PGA(NS)=   2.39,PGA(EW)=   3.32,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   3.37,PGV(SUM)=   0.32
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  98.89,BAZ= 85.31,PGA(V)=   1.52,PGA(NS)=   3.87,PGA(EW)=   3.91,PGV(V)=   0.26,PGV(NS)=   0.55,PGV(EW)=   0.57,Int= 2級,PGA(SUM)=   3.98,PGV(SUM)=   0.62
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  99.79,BAZ=199.20,PGA(V)=   0.58,PGA(NS)=   0.61,PGA(EW)=   0.95,PGV(V)=   0.08,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 100.04,BAZ=103.00,PGA(V)=   1.98,PGA(NS)=   4.24,PGA(EW)=   4.67,PGV(V)=   0.31,PGV(NS)=   0.60,PGV(EW)=   0.59,Int= 2級,PGA(SUM)=   4.83,PGV(SUM)=   0.76
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist= 100.30,BAZ= 50.34,PGA(V)=   0.79,PGA(NS)=   0.96,PGA(EW)=   1.00,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.12
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 100.85,BAZ=130.32,PGA(V)=   1.26,PGA(NS)=   2.61,PGA(EW)=   2.35,PGV(V)=   0.18,PGV(NS)=   0.28,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.33,PGV(SUM)=   0.31
