Origin Time:2020/05/25 06:31:30
Lon:121.95°E
Lat:24.36°N
Depth:23.8km
Mag:5.2
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 100.37,AZ=107.37,PGA(V)=   0.52,PGA(NS)=   0.96,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 102.22,AZ=131.24,PGA(V)=   0.58,PGA(NS)=   1.19,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.11
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 102.70,AZ= 84.97,PGA(V)=   0.55,PGA(NS)=   0.98,PGA(EW)=   1.06,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.11
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 102.78,AZ=150.23,PGA(V)=   0.43,PGA(NS)=   0.95,PGA(EW)=   0.92,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.06
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 105.54,AZ=116.09,PGA(V)=   0.66,PGA(NS)=   0.69,PGA(EW)=   0.98,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.10
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 108.42,AZ=118.64,PGA(V)=   0.72,PGA(NS)=   1.56,PGA(EW)=   1.52,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.11
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 115.53,AZ=108.13,PGA(V)=   0.22,PGA(NS)=   1.37,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.10
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 116.45,AZ=128.03,PGA(V)=   0.37,PGA(NS)=   2.75,PGA(EW)=   2.97,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.06,PGV(SUM)=   0.14
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 118.72,AZ= 63.53,PGA(V)=   0.36,PGA(NS)=   1.41,PGA(EW)=   1.43,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.16
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 119.54,AZ= 99.50,PGA(V)=   0.73,PGA(NS)=   0.78,PGA(EW)=   0.96,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.10
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.77,Stalat=24.35,Dist= 119.79,AZ= 89.34,PGA(V)=   0.60,PGA(NS)=   1.05,PGA(EW)=   0.75,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.10
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 120.28,AZ= 92.92,PGA(V)=   0.55,PGA(NS)=   1.02,PGA(EW)=   0.51,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.10
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 132.26,AZ= 74.64,PGA(V)=   0.71,PGA(NS)=   0.92,PGA(EW)=   0.58,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.08
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 133.88,AZ= 56.74,PGA(V)=   0.37,PGA(NS)=   1.29,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.07
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 146.41,AZ= 72.45,PGA(V)=   0.64,PGA(NS)=   0.97,PGA(EW)=   1.02,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.12
