Origin Time:2018/02/06 23:50:41
Lon:121.73°E
Lat:24.10°N
Depth:6.3km
Mag:6.2
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 160.48,AZ= 21.48,PGA(V)=   2.09,PGA(NS)=   4.13,PGA(EW)=   4.91
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 161.18,AZ= 71.39,PGA(V)=   3.95,PGA(NS)=  11.07,PGA(EW)=   9.03
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 162.12,AZ= 45.81,PGA(V)=   2.15,PGA(NS)=   3.59,PGA(EW)=   4.31
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 166.53,AZ= 65.76,PGA(V)=   1.85,PGA(NS)=   7.06,PGA(EW)=   5.62
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 179.71,AZ= 50.82,PGA(V)=   3.23,PGA(NS)=   6.10,PGA(EW)=   4.31
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 181.77,AZ= 54.01,PGA(V)=   4.73,PGA(NS)=   6.70,PGA(EW)=   7.48
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist= 184.20,AZ= 25.23,PGA(V)=   0.72,PGA(NS)=   0.96,PGA(EW)=   1.20
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 186.67,AZ= 56.63,PGA(V)=   1.20,PGA(NS)=   5.92,PGA(EW)=   9.09
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist= 186.97,AZ= 36.54,PGA(V)=   1.68,PGA(NS)=   1.50,PGA(EW)=   1.74
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 192.55,AZ= 52.32,PGA(V)=   1.68,PGA(NS)=   5.14,PGA(EW)=   3.89
Stacode=TWM1,Staname=旗山  ,Stalon=120.43,Stalat=22.82,Dist= 194.11,AZ= 43.13,PGA(V)=   1.68,PGA(NS)=   4.49,PGA(EW)=   3.05
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist= 197.70,AZ= 39.52,PGA(V)=   2.27,PGA(NS)=   4.79,PGA(EW)=   5.74
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist= 198.17,AZ= 51.76,PGA(V)=   1.44,PGA(NS)=   2.63,PGA(EW)=   2.87
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 198.19,AZ= 57.79,PGA(V)=   0.96,PGA(NS)=   4.97,PGA(EW)=   4.37
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 201.93,AZ= 38.65,PGA(V)=   1.26,PGA(NS)=   5.56,PGA(EW)=   3.05
Stacode=EAS ,Staname=安朔  ,Stalon=120.86,Stalat=22.38,Dist= 210.32,AZ= 25.13,PGA(V)=   0.84,PGA(NS)=   2.27,PGA(EW)=   1.02
Stacode=SCZ ,Staname=枋寮  ,Stalon=120.63,Stalat=22.37,Dist= 222.32,AZ= 30.46,PGA(V)=   0.54,PGA(NS)=   1.02,PGA(EW)=   0.90
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist= 223.11,AZ= 40.39,PGA(V)=   1.02,PGA(NS)=   2.45,PGA(EW)=   2.45
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 228.50,AZ= 74.95,PGA(V)=   1.62,PGA(NS)=   2.81,PGA(EW)=   2.15
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 229.17,AZ=  4.40,PGA(V)=   0.48,PGA(NS)=   1.85,PGA(EW)=   1.62
Stacode=WDG ,Staname=東吉島,Stalon=119.67,Stalat=23.26,Dist= 230.10,AZ= 66.05,PGA(V)=   0.72,PGA(NS)=   1.08,PGA(EW)=   1.02
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 253.15,AZ= 23.46,PGA(V)=   0.60,PGA(NS)=   0.84,PGA(EW)=   0.96
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 256.94,AZ= 22.94,PGA(V)=   0.54,PGA(NS)=   1.68,PGA(EW)=   1.14
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 259.58,AZ= 20.20,PGA(V)=   0.54,PGA(NS)=   1.38,PGA(EW)=   0.96
