Origin Time:2024/04/22 17:08:39
Lon:121.54¢XE
Lat:23.76¢XN
Depth:10.3km
Mag:5.6
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 112.63,BAZ=125.62,PGA(V)=   0.98,PGA(NS)=   1.86,PGA(EW)=   1.48,PGV(V)=   0.16,PGV(NS)=   0.20,PGV(EW)=   0.27,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.28
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist= 113.81,BAZ=191.10,PGA(V)=   1.70,PGA(NS)=   3.64,PGA(EW)=   2.95,PGV(V)=   0.31,PGV(NS)=   0.74,PGV(EW)=   0.54,Int= 2¯Å,PGA(SUM)=   3.75,PGV(SUM)=   0.80
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 115.37,BAZ=140.99,PGA(V)=   0.79,PGA(NS)=   1.75,PGA(EW)=   1.47,PGV(V)=   0.13,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.20
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 116.64,BAZ= 75.75,PGA(V)=   0.79,PGA(NS)=   3.95,PGA(EW)=   3.04,PGV(V)=   0.08,PGV(NS)=   0.30,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   4.06,PGV(SUM)=   0.33
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 117.42,BAZ=118.21,PGA(V)=   3.04,PGA(NS)=   3.20,PGA(EW)=   3.06,PGV(V)=   0.36,PGV(NS)=   0.50,PGV(EW)=   0.55,Int= 2¯Å,PGA(SUM)=   3.50,PGV(SUM)=   0.57
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 117.68,BAZ= 86.34,PGA(V)=   1.31,PGA(NS)=   2.62,PGA(EW)=   1.97,PGV(V)=   0.10,PGV(NS)=   0.30,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   3.09,PGV(SUM)=   0.38
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 117.81,BAZ=106.37,PGA(V)=   1.37,PGA(NS)=   2.90,PGA(EW)=   2.67,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   3.10,PGV(SUM)=   0.25
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 117.89,BAZ=157.06,PGA(V)=   1.30,PGA(NS)=   2.95,PGA(EW)=   4.06,PGV(V)=   0.23,PGV(NS)=   0.23,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.65,PGV(SUM)=   0.29
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 119.07,BAZ=161.86,PGA(V)=   1.32,PGA(NS)=   3.53,PGA(EW)=   4.10,PGV(V)=   0.17,PGV(NS)=   0.24,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.24,PGV(SUM)=   0.36
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 119.53,BAZ= 97.83,PGA(V)=   2.02,PGA(NS)=   7.11,PGA(EW)=   3.68,PGV(V)=   0.14,PGV(NS)=   0.44,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   7.12,PGV(SUM)=   0.44
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist= 121.15,BAZ= 58.56,PGA(V)=   0.57,PGA(NS)=   0.77,PGA(EW)=   0.76,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.09
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 122.51,BAZ= 52.39,PGA(V)=   0.56,PGA(NS)=   0.78,PGA(EW)=   0.74,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.09
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist= 122.75,BAZ=180.61,PGA(V)=   0.65,PGA(NS)=   0.75,PGA(EW)=   0.94,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.17
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 123.29,BAZ=146.49,PGA(V)=   0.94,PGA(NS)=   1.68,PGA(EW)=   1.89,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.22,Int= 1¯Å,PGA(SUM)=   2.08,PGV(SUM)=   0.27
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist= 123.31,BAZ= 68.79,PGA(V)=   0.97,PGA(NS)=   3.62,PGA(EW)=   2.32,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.76,PGV(SUM)=   0.22
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist= 124.43,BAZ= 47.28,PGA(V)=   0.38,PGA(NS)=   0.62,PGA(EW)=   0.78,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.07
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 125.11,BAZ=154.92,PGA(V)=   1.22,PGA(NS)=   1.70,PGA(EW)=   2.11,PGV(V)=   0.15,PGV(NS)=   0.28,PGV(EW)=   0.25,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.30
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist= 125.12,BAZ=193.59,PGA(V)=   1.57,PGA(NS)=   2.14,PGA(EW)=   3.36,PGV(V)=   0.18,PGV(NS)=   0.40,PGV(EW)=   0.49,Int= 2¯Å,PGA(SUM)=   3.48,PGV(SUM)=   0.57
