Origin Time:2022/10/10 20:17:51
Lon:121.53¢XE
Lat:23.61¢XN
Depth:31.2km
Mag:5.3
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 113.07,AZ=263.65,PGA(V)=   0.83,PGA(NS)=   3.17,PGA(EW)=   3.39,PGV(V)=   0.05,PGV(NS)=   0.27,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.65,PGV(SUM)=   0.27
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist= 113.49,AZ=233.07,PGA(V)=   0.81,PGA(NS)=   1.02,PGA(EW)=   1.64,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.10
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist= 114.00,AZ=  2.06,PGA(V)=   0.48,PGA(NS)=   1.92,PGA(EW)=   1.71,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.95,PGV(SUM)=   0.06
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist= 115.03,AZ=  9.33,PGA(V)=   0.58,PGA(NS)=   0.71,PGA(EW)=   0.69,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.04
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 117.10,AZ=274.26,PGA(V)=   1.15,PGA(NS)=   2.17,PGA(EW)=   3.64,PGV(V)=   0.04,PGV(NS)=   0.21,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   3.90,PGV(SUM)=   0.43
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 118.27,AZ=318.93,PGA(V)=   0.75,PGA(NS)=   1.45,PGA(EW)=   1.28,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.15
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 120.90,AZ=339.55,PGA(V)=   0.40,PGA(NS)=   0.63,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.07
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 122.15,AZ=285.43,PGA(V)=   3.27,PGA(NS)=   4.80,PGA(EW)=   6.00,PGV(V)=   0.11,PGV(NS)=   0.29,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   6.64,PGV(SUM)=   0.31
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 122.27,AZ=311.99,PGA(V)=   0.61,PGA(NS)=   1.37,PGA(EW)=   2.14,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.11,PGV(SUM)=   0.23
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist= 123.75,AZ=  7.05,PGA(V)=   0.31,PGA(NS)=   0.67,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 125.34,AZ=304.88,PGA(V)=   1.71,PGA(NS)=   2.59,PGA(EW)=   4.22,PGV(V)=   0.16,PGV(NS)=   0.25,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   4.18,PGV(SUM)=   0.33
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 129.88,AZ=282.44,PGA(V)=   1.57,PGA(NS)=   3.18,PGA(EW)=   3.14,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.44,PGV(SUM)=   0.20
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist= 132.41,AZ=223.67,PGA(V)=   0.63,PGA(NS)=   1.22,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 132.73,AZ=340.07,PGA(V)=   0.51,PGA(NS)=   1.85,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.11
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 133.04,AZ=271.30,PGA(V)=   0.94,PGA(NS)=   2.32,PGA(EW)=   2.18,PGV(V)=   0.04,PGV(NS)=   0.26,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   2.70,PGV(SUM)=   0.27
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 133.17,AZ=233.01,PGA(V)=   1.49,PGA(NS)=   2.50,PGA(EW)=   2.45,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.13,PGV(SUM)=   0.20
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 133.61,AZ=265.89,PGA(V)=   0.61,PGA(NS)=   3.18,PGA(EW)=   2.75,PGV(V)=   0.04,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.77,PGV(SUM)=   0.26
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 134.30,AZ=344.32,PGA(V)=   0.48,PGA(NS)=   1.44,PGA(EW)=   1.64,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.14
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 135.34,AZ=279.17,PGA(V)=   1.61,PGA(NS)=   2.05,PGA(EW)=   3.69,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.58,PGV(SUM)=   0.30
