Origin Time:2024/04/22 00:35:52
Lon:121.67¢XE
Lat:24.19¢XN
Depth:32.2km
Mag:5.4
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist=  86.05,BAZ=170.50,PGA(V)=   2.04,PGA(NS)=   2.96,PGA(EW)=   2.37,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.33,PGV(SUM)=   0.15
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  86.98,BAZ= 68.46,PGA(V)=   0.58,PGA(NS)=   1.10,PGA(EW)=   0.78,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.16,PGV(SUM)=   0.06
Stacode=TWA ,Staname=¤ì¬]  ,Stalon=121.59,Stalat=24.98,Dist=  87.22,BAZ=175.13,PGA(V)=   0.79,PGA(NS)=   0.73,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.07
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist=  87.71,BAZ=160.36,PGA(V)=   0.87,PGA(NS)=   1.21,PGA(EW)=   1.14,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.12
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  91.38,BAZ=100.70,PGA(V)=   1.70,PGA(NS)=   2.07,PGA(EW)=   2.70,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.88,PGV(SUM)=   0.24
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist=  92.22,BAZ=134.66,PGA(V)=   1.89,PGA(NS)=   1.16,PGA(EW)=   0.99,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.16
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist=  93.49,BAZ=168.08,PGA(V)=   1.61,PGA(NS)=   1.85,PGA(EW)=   2.09,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.43,PGV(SUM)=   0.15
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist=  94.15,BAZ=105.07,PGA(V)=   1.45,PGA(NS)=   1.45,PGA(EW)=   1.66,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.23
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist=  94.59,BAZ=115.79,PGA(V)=   0.80,PGA(NS)=   1.16,PGA(EW)=   1.21,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.13
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist=  94.76,BAZ=170.69,PGA(V)=   0.93,PGA(NS)=   1.41,PGA(EW)=   1.26,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.14
