Origin Time:2024/04/03 08:50:46
Lon:121.57¢XE
Lat:23.83¢XN
Depth:20.5km
Mag:5.5
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 111.77,BAZ= 23.86,PGA(V)=   0.86,PGA(NS)=   1.66,PGA(EW)=   1.68,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.19
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 111.77,BAZ=153.92,PGA(V)=   0.89,PGA(NS)=   2.53,PGA(EW)=   1.70,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.12
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 112.44,BAZ=159.01,PGA(V)=   0.78,PGA(NS)=   2.49,PGA(EW)=   1.81,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.54,PGV(SUM)=   0.14
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist= 116.42,BAZ=193.00,PGA(V)=   0.61,PGA(NS)=   1.31,PGA(EW)=   1.01,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.09
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 116.66,BAZ= 56.23,PGA(V)=   0.83,PGA(NS)=   1.19,PGA(EW)=   1.20,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.15
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 116.69,BAZ=113.92,PGA(V)=   3.33,PGA(NS)=   1.58,PGA(EW)=   1.72,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.19
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 116.70,BAZ= 73.60,PGA(V)=   1.52,PGA(NS)=   3.83,PGA(EW)=   3.56,PGV(V)=   0.12,PGV(NS)=   0.28,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   3.95,PGV(SUM)=   0.33
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 118.45,BAZ=143.01,PGA(V)=   0.80,PGA(NS)=   1.10,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.13
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 118.89,BAZ=102.15,PGA(V)=   2.18,PGA(NS)=   3.75,PGA(EW)=   2.52,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   3.68,PGV(SUM)=   0.23
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 119.23,BAZ=151.86,PGA(V)=   0.79,PGA(NS)=   1.13,PGA(EW)=   1.03,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.11
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist= 120.38,BAZ=166.06,PGA(V)=   0.67,PGA(NS)=   1.20,PGA(EW)=   1.00,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.07
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 121.65,BAZ= 82.59,PGA(V)=   1.97,PGA(NS)=   2.12,PGA(EW)=   2.83,PGV(V)=   0.07,PGV(NS)=   0.24,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.89,PGV(SUM)=   0.24
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 121.88,BAZ= 93.82,PGA(V)=   1.93,PGA(NS)=   3.20,PGA(EW)=   3.22,PGV(V)=   0.08,PGV(NS)=   0.29,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.83,PGV(SUM)=   0.35
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 121.96,BAZ= 72.40,PGA(V)=   0.88,PGA(NS)=   4.19,PGA(EW)=   3.65,PGV(V)=   0.10,PGV(NS)=   0.28,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.18,PGV(SUM)=   0.29
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist= 122.85,BAZ= 24.18,PGA(V)=   0.30,PGA(NS)=   0.93,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.06
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 124.29,BAZ=152.90,PGA(V)=   0.76,PGA(NS)=   2.16,PGA(EW)=   1.23,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.17,PGV(SUM)=   0.18
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist= 124.55,BAZ=170.73,PGA(V)=   0.48,PGA(NS)=   0.85,PGA(EW)=   0.57,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.07
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 125.28,BAZ=177.82,PGA(V)=   0.70,PGA(NS)=   1.72,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.09
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist= 126.69,BAZ= 19.69,PGA(V)=   0.47,PGA(NS)=   0.93,PGA(EW)=   0.93,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.15
