Origin Time:2024/04/07 05:15:10
Lon:121.72°E
Lat:24.04°N
Depth:21.5km
Mag:5.2
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 131.98,BAZ= 59.69,PGA(V)=   0.50,PGA(NS)=   1.93,PGA(EW)=   1.07,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.10
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 137.64,BAZ= 83.65,PGA(V)=   1.05,PGA(NS)=   1.87,PGA(EW)=   2.20,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.13
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 139.07,BAZ= 66.13,PGA(V)=   0.93,PGA(NS)=   1.30,PGA(EW)=   1.76,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.10
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 141.33,BAZ= 73.97,PGA(V)=   0.70,PGA(NS)=   2.19,PGA(EW)=   1.45,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.11
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 144.59,BAZ= 65.39,PGA(V)=   0.41,PGA(NS)=   0.91,PGA(EW)=   1.45,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.09
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 147.19,BAZ= 82.29,PGA(V)=   0.56,PGA(NS)=   1.50,PGA(EW)=   1.15,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.12
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 153.58,BAZ= 60.28,PGA(V)=   0.63,PGA(NS)=   0.90,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.08
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 154.83,BAZ= 80.30,PGA(V)=   0.82,PGA(NS)=   1.60,PGA(EW)=   1.57,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.16
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 158.48,BAZ= 73.61,PGA(V)=   0.98,PGA(NS)=   1.95,PGA(EW)=   2.29,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.12
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 159.28,BAZ= 66.09,PGA(V)=   0.53,PGA(NS)=   0.92,PGA(EW)=   1.12,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 162.73,BAZ= 69.38,PGA(V)=   0.45,PGA(NS)=   0.84,PGA(EW)=   0.95,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.06
