Origin Time:2024/04/23 03:28:32
Lon:121.54°E
Lat:23.80°N
Depth:5.4km
Mag:5.1
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 112.07,BAZ= 74.89,PGA(V)=   0.73,PGA(NS)=   0.99,PGA(EW)=   1.02,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.11
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 113.58,BAZ=156.44,PGA(V)=   0.45,PGA(NS)=   0.89,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.08
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 114.68,BAZ=161.42,PGA(V)=   0.39,PGA(NS)=   0.71,PGA(EW)=   1.07,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.08
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 114.88,BAZ=116.38,PGA(V)=   0.72,PGA(NS)=   0.91,PGA(EW)=   0.88,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.27
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 116.09,BAZ=104.34,PGA(V)=   0.53,PGA(NS)=   2.36,PGA(EW)=   1.12,PGV(V)=   0.05,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.22
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 117.27,BAZ= 73.58,PGA(V)=   0.41,PGA(NS)=   2.43,PGA(EW)=   1.80,PGV(V)=   0.05,PGV(NS)=   0.25,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.68,PGV(SUM)=   0.27
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 117.49,BAZ= 84.15,PGA(V)=   0.40,PGA(NS)=   1.62,PGA(EW)=   2.50,PGV(V)=   0.04,PGV(NS)=   0.21,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.64,PGV(SUM)=   0.21
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 118.45,BAZ= 95.74,PGA(V)=   1.04,PGA(NS)=   2.33,PGA(EW)=   1.37,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.57,PGV(SUM)=   0.19
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 119.29,BAZ=145.53,PGA(V)=   0.31,PGA(NS)=   0.76,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.08
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 124.48,BAZ= 66.78,PGA(V)=   0.45,PGA(NS)=   1.07,PGA(EW)=   1.84,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.84,PGV(SUM)=   0.21
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.14,BAZ= 93.30,PGA(V)=   0.41,PGA(NS)=   1.47,PGA(EW)=   1.12,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.13
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 132.08,BAZ= 73.50,PGA(V)=   0.53,PGA(NS)=   1.17,PGA(EW)=   1.52,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.15
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 133.69,BAZ= 90.41,PGA(V)=   0.52,PGA(NS)=   0.68,PGA(EW)=   0.92,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.10
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 134.26,BAZ= 82.45,PGA(V)=   0.35,PGA(NS)=   1.13,PGA(EW)=   0.60,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.12
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 134.47,BAZ=164.77,PGA(V)=   0.30,PGA(NS)=   0.78,PGA(EW)=   0.52,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.08
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 135.66,BAZ=177.41,PGA(V)=   0.55,PGA(NS)=   0.92,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.11
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 136.74,BAZ= 77.22,PGA(V)=   0.26,PGA(NS)=   1.29,PGA(EW)=   1.63,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.15
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 142.87,BAZ= 69.66,PGA(V)=   0.17,PGA(NS)=   0.87,PGA(EW)=   0.74,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.10
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 142.96,BAZ=159.76,PGA(V)=   0.19,PGA(NS)=   0.96,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.10
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 143.50,BAZ=190.02,PGA(V)=   0.19,PGA(NS)=   0.81,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.09
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 146.84,BAZ= 60.17,PGA(V)=   0.25,PGA(NS)=   0.81,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.16
