Origin Time:2024/04/03 09:17:43
Lon:121.67¢XE
Lat:24.04¢XN
Depth:35.7km
Mag:5.2
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 109.99,BAZ=107.92,PGA(V)=   0.28,PGA(NS)=   0.62,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist= 110.02,BAZ=169.61,PGA(V)=   0.80,PGA(NS)=   0.97,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.48,PGV(SUM)=   0.12
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 111.32,BAZ= 85.34,PGA(V)=   1.71,PGA(NS)=   3.70,PGA(EW)=   3.19,PGV(V)=   0.07,PGV(NS)=   0.30,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   4.37,PGV(SUM)=   0.35
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 112.59,BAZ= 64.04,PGA(V)=   0.66,PGA(NS)=   1.36,PGA(EW)=   2.77,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.15
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 113.19,BAZ= 92.09,PGA(V)=   2.62,PGA(NS)=   5.04,PGA(EW)=   7.55,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   6.89,PGV(SUM)=   0.21
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist= 113.57,BAZ=154.43,PGA(V)=   0.63,PGA(NS)=   1.21,PGA(EW)=   0.61,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.11
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 114.55,BAZ= 23.71,PGA(V)=   0.42,PGA(NS)=   0.85,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.05
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist= 114.61,BAZ=178.47,PGA(V)=   0.72,PGA(NS)=   2.21,PGA(EW)=   1.45,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.27,PGV(SUM)=   0.06
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 115.35,BAZ= 34.82,PGA(V)=   0.52,PGA(NS)=   0.71,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 118.85,BAZ= 70.53,PGA(V)=   0.67,PGA(NS)=   1.87,PGA(EW)=   1.47,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.09
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 118.97,BAZ=101.52,PGA(V)=   0.99,PGA(NS)=   0.74,PGA(EW)=   0.74,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.06
