Origin Time:2023/07/10 06:11:33
Lon:121.51°E
Lat:24.05°N
Depth:20.1km
Mag:5.3
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist=  99.25,BAZ=171.83,PGA(V)=   0.65,PGA(NS)=   1.02,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.07
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  99.76,BAZ=149.51,PGA(V)=   0.78,PGA(NS)=   2.83,PGA(EW)=   0.97,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.81,PGV(SUM)=   0.14
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 100.52,BAZ=180.67,PGA(V)=   0.99,PGA(NS)=   2.23,PGA(EW)=   2.08,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.15
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 103.13,BAZ=102.68,PGA(V)=   1.63,PGA(NS)=   0.98,PGA(EW)=   0.99,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.14
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 104.34,BAZ= 67.02,PGA(V)=   1.16,PGA(NS)=   1.91,PGA(EW)=   2.08,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.17
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist= 104.85,BAZ= 17.41,PGA(V)=   1.46,PGA(NS)=   4.31,PGA(EW)=   4.26,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.28,PGV(SUM)=   0.16
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 106.08,BAZ= 69.38,PGA(V)=   1.17,PGA(NS)=   2.44,PGA(EW)=   2.74,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.24
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 106.61,BAZ=161.91,PGA(V)=   0.88,PGA(NS)=   1.20,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.16
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 106.66,BAZ=  7.72,PGA(V)=   0.70,PGA(NS)=   2.23,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.29,PGV(SUM)=   0.10
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 107.21,BAZ=168.23,PGA(V)=   0.73,PGA(NS)=   1.43,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.13
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 109.15,BAZ=180.02,PGA(V)=   0.72,PGA(NS)=   1.12,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.10
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 110.16,BAZ= 15.82,PGA(V)=   0.88,PGA(NS)=   1.29,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.07
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 114.18,BAZ=186.46,PGA(V)=   0.79,PGA(NS)=   1.85,PGA(EW)=   2.20,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.35,PGV(SUM)=   0.11
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 114.89,BAZ= 53.74,PGA(V)=   0.84,PGA(NS)=   2.35,PGA(EW)=   2.20,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.12
