Origin Time:2021/06/11 15:33:26
Lon:121.53°E
Lat:23.89°N
Depth:10.6km
Mag:5.4
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  99.43,AZ=193.35,PGA(V)=   0.87,PGA(NS)=   1.33,PGA(EW)=   1.76,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.21
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 100.42,AZ= 76.87,PGA(V)=   0.93,PGA(NS)=   2.54,PGA(EW)=   1.57,PGV(V)=   0.13,PGV(NS)=   0.29,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.30
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 102.04,AZ=101.36,PGA(V)=   1.55,PGA(NS)=   3.55,PGA(EW)=   2.09,PGV(V)=   0.12,PGV(NS)=   0.35,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   3.64,PGV(SUM)=   0.35
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 102.87,AZ= 79.11,PGA(V)=   0.95,PGA(NS)=   3.03,PGA(EW)=   2.17,PGV(V)=   0.14,PGV(NS)=   0.44,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   3.06,PGV(SUM)=   0.45
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 103.66,AZ=119.26,PGA(V)=   0.61,PGA(NS)=   0.76,PGA(EW)=   0.81,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.17
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 103.77,AZ=133.67,PGA(V)=   1.20,PGA(NS)=   3.54,PGA(EW)=   2.97,PGV(V)=   0.09,PGV(NS)=   0.24,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.76,PGV(SUM)=   0.25
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 103.83,AZ=154.41,PGA(V)=   0.69,PGA(NS)=   1.58,PGA(EW)=   2.45,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.13
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 104.24,AZ= 12.80,PGA(V)=   0.80,PGA(NS)=   2.26,PGA(EW)=   1.45,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.33,PGV(SUM)=   0.16
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 104.53,AZ=159.90,PGA(V)=   0.68,PGA(NS)=   2.47,PGA(EW)=   1.64,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.17
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 106.83,AZ= 62.07,PGA(V)=   0.91,PGA(NS)=   2.30,PGA(EW)=   2.03,PGV(V)=   0.10,PGV(NS)=   0.24,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.42,PGV(SUM)=   0.27
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 110.47,AZ=142.69,PGA(V)=   0.77,PGA(NS)=   1.23,PGA(EW)=   1.50,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.14
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 111.02,AZ=195.89,PGA(V)=   0.72,PGA(NS)=   1.26,PGA(EW)=   1.10,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.14
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 111.20,AZ=152.15,PGA(V)=   0.73,PGA(NS)=   1.27,PGA(EW)=   1.01,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.14
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 114.72,AZ= 69.76,PGA(V)=   0.90,PGA(NS)=   1.93,PGA(EW)=   1.59,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.23
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 116.31,AZ=153.27,PGA(V)=   0.69,PGA(NS)=   1.17,PGA(EW)=   1.13,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.26,PGV(SUM)=   0.15
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist= 116.39,AZ= 20.57,PGA(V)=   0.43,PGA(NS)=   0.77,PGA(EW)=   0.66,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.18
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 117.10,AZ= 52.30,PGA(V)=   0.44,PGA(NS)=   0.83,PGA(EW)=   0.65,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.10
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 117.29,AZ= 90.66,PGA(V)=   1.22,PGA(NS)=   2.17,PGA(EW)=   2.25,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.22
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 118.46,AZ= 79.08,PGA(V)=   0.66,PGA(NS)=   2.20,PGA(EW)=   2.34,PGV(V)=   0.14,PGV(NS)=   0.35,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.43
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 120.13,AZ= 68.70,PGA(V)=   0.58,PGA(NS)=   2.03,PGA(EW)=   1.81,PGV(V)=   0.08,PGV(NS)=   0.23,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.28
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 122.96,AZ=175.83,PGA(V)=   0.80,PGA(NS)=   1.11,PGA(EW)=   1.27,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.15
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 125.11,AZ=169.14,PGA(V)=   0.63,PGA(NS)=   1.11,PGA(EW)=   1.27,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.26,PGV(SUM)=   0.15
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 125.91,AZ= 56.62,PGA(V)=   0.56,PGA(NS)=   0.75,PGA(EW)=   1.02,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.18
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 126.40,AZ= 88.56,PGA(V)=   0.64,PGA(NS)=   1.58,PGA(EW)=   1.14,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.18
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 127.09,AZ=179.26,PGA(V)=   0.87,PGA(NS)=   1.17,PGA(EW)=   1.04,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.12
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 127.32,AZ=181.79,PGA(V)=   2.23,PGA(NS)=   1.33,PGA(EW)=   2.02,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.11
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 128.67,AZ= 52.62,PGA(V)=   0.48,PGA(NS)=   0.74,PGA(EW)=   0.59,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.09
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 131.73,AZ= 16.93,PGA(V)=   0.41,PGA(NS)=   0.62,PGA(EW)=   0.72,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.21
