Origin Time:2024/04/03 09:07:16
Lon:121.70°E
Lat:24.05°N
Depth:21.8km
Mag:5.0
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 110.64,BAZ= 17.64,PGA(V)=   0.46,PGA(NS)=   0.84,PGA(EW)=   0.73,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 110.86,BAZ=141.05,PGA(V)=   0.39,PGA(NS)=   1.08,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.08
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 113.89,BAZ=176.88,PGA(V)=   0.50,PGA(NS)=   1.08,PGA(EW)=   1.07,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.05
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.53,BAZ= 85.04,PGA(V)=   0.78,PGA(NS)=   1.26,PGA(EW)=   1.39,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.11
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 115.80,BAZ= 64.35,PGA(V)=   0.62,PGA(NS)=   1.13,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.09
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 116.31,BAZ= 91.62,PGA(V)=   1.18,PGA(NS)=   2.02,PGA(EW)=   2.92,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.15,PGV(SUM)=   0.08
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 122.11,BAZ= 70.64,PGA(V)=   0.78,PGA(NS)=   1.24,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.08
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 124.10,BAZ= 72.61,PGA(V)=   0.56,PGA(NS)=   1.62,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.15
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 124.99,BAZ=147.99,PGA(V)=   0.25,PGA(NS)=   0.78,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.08
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 127.05,BAZ= 76.85,PGA(V)=   0.46,PGA(NS)=   1.13,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.07
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 129.28,BAZ= 90.26,PGA(V)=   1.08,PGA(NS)=   1.37,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.07
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 130.70,BAZ= 58.81,PGA(V)=   0.44,PGA(NS)=   1.02,PGA(EW)=   0.98,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.07
