Origin Time:2025/01/12 04:27:09
Lon:121.46°E
Lat:23.80°N
Depth:11.3km
Mag:5.0
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  94.59,BAZ= 84.46,PGA(V)=   0.67,PGA(NS)=   1.75,PGA(EW)=   1.78,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.85,PGV(SUM)=   0.14
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  96.09,BAZ= 65.58,PGA(V)=   0.48,PGA(NS)=   1.74,PGA(EW)=   1.57,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.10
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  97.18,BAZ=108.76,PGA(V)=   0.58,PGA(NS)=   1.24,PGA(EW)=   1.27,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist=  99.46,BAZ= 89.46,PGA(V)=   0.46,PGA(NS)=   1.51,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.14
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 104.95,BAZ= 73.73,PGA(V)=   0.94,PGA(NS)=   0.92,PGA(EW)=   1.51,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.11
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 108.19,BAZ=118.04,PGA(V)=   0.45,PGA(NS)=   0.85,PGA(EW)=   0.61,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.09
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 108.85,BAZ=105.21,PGA(V)=   0.52,PGA(NS)=   0.87,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 110.11,BAZ= 83.66,PGA(V)=   0.45,PGA(NS)=   1.29,PGA(EW)=   1.23,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.11
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 110.20,BAZ= 72.39,PGA(V)=   0.44,PGA(NS)=   2.12,PGA(EW)=   1.48,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.16,PGV(SUM)=   0.13
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 111.03,BAZ= 96.03,PGA(V)=   0.84,PGA(NS)=   1.59,PGA(EW)=   1.60,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.11
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 117.74,BAZ= 65.27,PGA(V)=   0.43,PGA(NS)=   1.19,PGA(EW)=   1.03,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.09
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 119.71,BAZ= 93.41,PGA(V)=   0.30,PGA(NS)=   0.81,PGA(EW)=   0.61,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.07
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 125.01,BAZ= 72.45,PGA(V)=   0.51,PGA(NS)=   1.06,PGA(EW)=   0.91,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.07
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 126.91,BAZ= 81.92,PGA(V)=   0.37,PGA(NS)=   0.93,PGA(EW)=   0.82,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.07
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 129.53,BAZ= 76.41,PGA(V)=   0.27,PGA(NS)=   1.06,PGA(EW)=   1.13,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.08
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 135.98,BAZ= 68.50,PGA(V)=   0.18,PGA(NS)=   0.99,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.07
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 141.42,BAZ= 44.44,PGA(V)=   0.45,PGA(NS)=   0.72,PGA(EW)=   0.66,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.06
